Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
Ballistica Prime Blueprint,Rare (6.00%)
Orthos Prime Blade,Uncommon (17.00%)
Cernos Prime String,Uncommon (17.00%)
Limbo Prime Systems Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Burston Prime Blueprint,Uncommon (20.00%)
,
Lith B3 Relic (Radiant),Lith B3 Relic (Radiant)
Ballistica Prime Blueprint,Uncommon (10.00%)
Orthos Prime Blade,Uncommon (20.00%)
Cernos Prime String,Uncommon (20.00%)
Limbo Prime Systems Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Burston Prime Blueprint,Uncommon (16.67%)
,
Lith B4 Relic (Intact),Lith B4 Relic (Intact)
Boltor Prime Blueprint,Rare (2.00%)
Rhino Prime Neuroptics Blueprint,Uncommon (11.00%)
Scindo Prime Blueprint,Uncommon (11.00%)
Nyx Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Ankyros Prime Blueprint,Uncommon (25.33%)
,
Lith B4 Relic (Exceptional),Lith B4 Relic (Exceptional)
Boltor Prime Blueprint,Rare (4.00%)
Rhino Prime Neuroptics Blueprint,Uncommon (13.00%)
Scindo Prime Blueprint,Uncommon (13.00%)
Nyx Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Ankyros Prime Blueprint,Uncommon (23.33%)
,
Lith B4 Relic (Flawless),Lith B4 Relic (Flawless)
Boltor Prime Blueprint,Rare (6.00%)
Rhino Prime Neuroptics Blueprint,Uncommon (17.00%)
Scindo Prime Blueprint,Uncommon (17.00%)
Nyx Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Ankyros Prime Blueprint,Uncommon (20.00%)
,
Lith B4 Relic (Radiant),Lith B4 Relic (Radiant)
Boltor Prime Blueprint,Uncommon (10.00%)
Rhino Prime Neuroptics Blueprint,Uncommon (20.00%)
Scindo Prime Blueprint,Uncommon (20.00%)
Nyx Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Ankyros Prime Blueprint,Uncommon (16.67%)
,
Lith B5 Relic (Intact),Lith B5 Relic (Intact)
Ballistica Prime Blueprint,Rare (2.00%)
Orthos Prime Blade,Uncommon (11.00%)
Rubico Prime Stock,Uncommon (11.00%)
Banshee Prime Neuroptics Blueprint,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
Oberon Prime Chassis Blueprint,Uncommon (25.33%)
,
Lith B5 Relic (Exceptional),Lith B5 Relic (Exceptional)
Ballistica Prime Blueprint,Rare (4.00%)
Orthos Prime Blade,Uncommon (13.00%)
Rubico Prime Stock,Uncommon (13.00%)
Banshee Prime Neuroptics Blueprint,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
Oberon Prime Chassis Blueprint,Uncommon (23.33%)
,
Lith B5 Relic (Flawless),Lith B5 Relic (Flawless)
Ballistica Prime Blueprint,Rare (6.00%)
Orthos Prime Blade,Uncommon (17.00%)
Rubico Prime Stock,Uncommon (17.00%)
Banshee Prime Neuroptics Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
Oberon Prime Chassis Blueprint,Uncommon (20.00%)
,
Lith B5 Relic (Radiant),Lith B5 Relic (Radiant)
Ballistica Prime Blueprint,Uncommon (10.00%)
Orthos Prime Blade,Uncommon (20.00%)
Rubico Prime Stock,Uncommon (20.00%)
Banshee Prime Neuroptics Blueprint,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
Oberon Prime Chassis Blueprint,Uncommon (16.67%)
,
Lith B6 Relic (Intact),Lith B6 Relic (Intact)
Ballistica Prime Blueprint,Rare (2.00%)
Orthos Prime Blueprint,Uncommon (11.00%)
Redeemer Prime Blueprint,Uncommon (11.00%)
Lex Prime Barrel,Uncommon (25.33%)
Fang Prime Blueprint,Uncommon (25.33%)
Limbo Prime Systems Blueprint,Uncommon (25.33%)
,
Lith B6 Relic (Exceptional),Lith B6 Relic (Exceptional)
Ballistica Prime Blueprint,Rare (4.00%)
Orthos Prime Blueprint,Uncommon (13.00%)
Redeemer Prime Blueprint,Uncommon (13.00%)
Lex Prime Barrel,Uncommon (23.33%)
Fang Prime Blueprint,Uncommon (23.33%)
Limbo Prime Systems Blueprint,Uncommon (23.33%)
,
Lith B6 Relic (Flawless),Lith B6 Relic (Flawless)
Ballistica Prime Blueprint,Rare (6.00%)
Orthos Prime Blueprint,Uncommon (17.00%)
Redeemer Prime Blueprint,Uncommon (17.00%)
Lex Prime Barrel,Uncommon (20.00%)
Fang Prime Blueprint,Uncommon (20.00%)
Limbo Prime Systems Blueprint,Uncommon (20.00%)
,
Lith B6 Relic (Radiant),Lith B6 Relic (Radiant)
Ballistica Prime Blueprint,Uncommon (10.00%)
Orthos Prime Blueprint,Uncommon (20.00%)
Redeemer Prime Blueprint,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (16.67%)
Fang Prime Blueprint,Uncommon (16.67%)
Limbo Prime Systems Blueprint,Uncommon (16.67%)
,
Lith B7 Relic (Intact),Lith B7 Relic (Intact)
Baza Prime Blueprint,Rare (2.00%)
Orthos Prime Blueprint,Uncommon (11.00%)
Aksomati Prime Barrel,Uncommon (11.00%)
Lex Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Tipedo Prime Blueprint,Uncommon (25.33%)
,
Lith B7 Relic (Exceptional),Lith B7 Relic (Exceptional)
Baza Prime Blueprint,Rare (4.00%)
Orthos Prime Blueprint,Uncommon (13.00%)
Aksomati Prime Barrel,Uncommon (13.00%)
Lex Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Tipedo Prime Blueprint,Uncommon (23.33%)
,
Lith B7 Relic (Flawless),Lith B7 Relic (Flawless)
Baza Prime Blueprint,Rare (6.00%)
Orthos Prime Blueprint,Uncommon (17.00%)
Aksomati Prime Barrel,Uncommon (17.00%)
Lex Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Tipedo Prime Blueprint,Uncommon (20.00%)
,
Lith B7 Relic (Radiant),Lith B7 Relic (Radiant)
Baza Prime Blueprint,Uncommon (10.00%)
Orthos Prime Blueprint,Uncommon (20.00%)
Aksomati Prime Barrel,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Tipedo Prime Blueprint,Uncommon (16.67%)
,
Lith B8 Relic (Intact),Lith B8 Relic (Intact)
Baza Prime Blueprint,Rare (2.00%)
Ivara Prime Blueprint,Uncommon (11.00%)
Atlas Prime Chassis Blueprint,Uncommon (11.00%)
Burston Prime Stock,Uncommon (25.33%)
Dethcube Prime Systems,Uncommon (25.33%)
Aksomati Prime Blueprint,Uncommon (25.33%)
,
Lith B8 Relic (Exceptional),Lith B8 Relic (Exceptional)
Baza Prime Blueprint,Rare (4.00%)
Ivara Prime Blueprint,Uncommon (13.00%)
Atlas Prime Chassis Blueprint,Uncommon (13.00%)
Burston Prime Stock,Uncommon (23.33%)
Dethcube Prime Systems,Uncommon (23.33%)
Aksomati Prime Blueprint,Uncommon (23.33%)
,
Lith B8 Relic (Flawless),Lith B8 Relic (Flawless)
Baza Prime Blueprint,Rare (6.00%)
Ivara Prime Blueprint,Uncommon (17.00%)
Atlas Prime Chassis Blueprint,Uncommon (17.00%)
Burston Prime Stock,Uncommon (20.00%)
Dethcube Prime Systems,Uncommon (20.00%)
Aksomati Prime Blueprint,Uncommon (20.00%)
,
Lith B8 Relic (Radiant),Lith B8 Relic (Radiant)
Baza Prime Blueprint,Uncommon (10.00%)
Ivara Prime Blueprint,Uncommon (20.00%)
Atlas Prime Chassis Blueprint,Uncommon (20.00%)
Burston Prime Stock,Uncommon (16.67%)
Dethcube Prime Systems,Uncommon (16.67%)
Aksomati Prime Blueprint,Uncommon (16.67%)
,
Lith B9 Relic (Intact),Lith B9 Relic (Intact)
Baza Prime Stock,Rare (2.00%)
Silva & Aegis Prime Blueprint,Uncommon (11.00%)
Braton Prime Receiver,Uncommon (11.00%)
Oberon Prime Chassis Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Lex Prime Barrel,Uncommon (25.33%)
,
Lith B9 Relic (Exceptional),Lith B9 Relic (Exceptional)
Baza Prime Stock,Rare (4.00%)
Silva & Aegis Prime Blueprint,Uncommon (13.00%)
Braton Prime Receiver,Uncommon (13.00%)
Oberon Prime Chassis Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Lex Prime Barrel,Uncommon (23.33%)
,
Lith B9 Relic (Flawless),Lith B9 Relic (Flawless)
Baza Prime Stock,Rare (6.00%)
Silva & Aegis Prime Blueprint,Uncommon (17.00%)
Braton Prime Receiver,Uncommon (17.00%)
Oberon Prime Chassis Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (20.00%)
,
Lith B9 Relic (Radiant),Lith B9 Relic (Radiant)
Baza Prime Stock,Uncommon (10.00%)
Silva & Aegis Prime Blueprint,Uncommon (20.00%)
Braton Prime Receiver,Uncommon (20.00%)
Oberon Prime Chassis Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Lex Prime Barrel,Uncommon (16.67%)
,
Lith C1 Relic (Intact),Lith C1 Relic (Intact)
Carrier Prime Cerebrum,Rare (2.00%)
Kavasa Prime Band,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Fang Prime Blade,Uncommon (25.33%)
Nova Prime Neuroptics Blueprint,Uncommon (25.33%)
Nova Prime Systems Blueprint,Uncommon (25.33%)
,
Lith C1 Relic (Exceptional),Lith C1 Relic (Exceptional)
Carrier Prime Cerebrum,Rare (4.00%)
Kavasa Prime Band,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Fang Prime Blade,Uncommon (23.33%)
Nova Prime Neuroptics Blueprint,Uncommon (23.33%)
Nova Prime Systems Blueprint,Uncommon (23.33%)
,
Lith C1 Relic (Flawless),Lith C1 Relic (Flawless)
Carrier Prime Cerebrum,Rare (6.00%)
Kavasa Prime Band,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Fang Prime Blade,Uncommon (20.00%)
Nova Prime Neuroptics Blueprint,Uncommon (20.00%)
Nova Prime Systems Blueprint,Uncommon (20.00%)
,
Lith C1 Relic (Radiant),Lith C1 Relic (Radiant)
Carrier Prime Cerebrum,Uncommon (10.00%)
Kavasa Prime Band,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Fang Prime Blade,Uncommon (16.67%)
Nova Prime Neuroptics Blueprint,Uncommon (16.67%)
Nova Prime Systems Blueprint,Uncommon (16.67%)
,
Lith C10 Relic (Intact),Lith C10 Relic (Intact)
Cobra & Crane Prime Guard,Rare (2.00%)
Khora Prime Chassis Blueprint,Uncommon (11.00%)
Nagantaka Prime Receiver,Uncommon (11.00%)
Masseter Prime Handle,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Garuda Prime Blueprint,Uncommon (25.33%)
,
Lith C10 Relic (Exceptional),Lith C10 Relic (Exceptional)
Cobra & Crane Prime Guard,Rare (4.00%)
Khora Prime Chassis Blueprint,Uncommon (13.00%)
Nagantaka Prime Receiver,Uncommon (13.00%)
Masseter Prime Handle,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Garuda Prime Blueprint,Uncommon (23.33%)
,
Lith C10 Relic (Flawless),Lith C10 Relic (Flawless)
Cobra & Crane Prime Guard,Rare (6.00%)
Khora Prime Chassis Blueprint,Uncommon (17.00%)
Nagantaka Prime Receiver,Uncommon (17.00%)
Masseter Prime Handle,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Garuda Prime Blueprint,Uncommon (20.00%)
,
Lith C10 Relic (Radiant),Lith C10 Relic (Radiant)
Cobra & Crane Prime Guard,Uncommon (10.00%)
Khora Prime Chassis Blueprint,Uncommon (20.00%)
Nagantaka Prime Receiver,Uncommon (20.00%)
Masseter Prime Handle,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Garuda Prime Blueprint,Uncommon (16.67%)
,
Lith C2 Relic (Intact),Lith C2 Relic (Intact)
Cernos Prime Lower Limb,Rare (2.00%)
Nami Skyla Prime Handle,Uncommon (11.00%)
Akbolto Prime Barrel,Uncommon (11.00%)
Venka Prime Blades,Uncommon (25.33%)
Paris Prime Upper Limb,Uncommon (25.33%)
Bronco Prime Receiver,Uncommon (25.33%)
,
Lith C2 Relic (Exceptional),Lith C2 Relic (Exceptional)
Cernos Prime Lower Limb,Rare (4.00%)
Nami Skyla Prime Handle,Uncommon (13.00%)
Akbolto Prime Barrel,Uncommon (13.00%)
Venka Prime Blades,Uncommon (23.33%)
Paris Prime Upper Limb,Uncommon (23.33%)
Bronco Prime Receiver,Uncommon (23.33%)
,
Lith C2 Relic (Flawless),Lith C2 Relic (Flawless)
Cernos Prime Lower Limb,Rare (6.00%)
Nami Skyla Prime Handle,Uncommon (17.00%)
Akbolto Prime Barrel,Uncommon (17.00%)
Venka Prime Blades,Uncommon (20.00%)
Paris Prime Upper Limb,Uncommon (20.00%)
Bronco Prime Receiver,Uncommon (20.00%)
,
Lith C2 Relic (Radiant),Lith C2 Relic (Radiant)
Cernos Prime Lower Limb,Uncommon (10.00%)
Nami Skyla Prime Handle,Uncommon (20.00%)
Akbolto Prime Barrel,Uncommon (20.00%)
Venka Prime Blades,Uncommon (16.67%)
Paris Prime Upper Limb,Uncommon (16.67%)
Bronco Prime Receiver,Uncommon (16.67%)
,
Lith C3 Relic (Intact),Lith C3 Relic (Intact)
Chroma Prime Neuroptics Blueprint,Rare (2.00%)
Braton Prime Blueprint,Uncommon (11.00%)
Helios Prime Blueprint,Uncommon (11.00%)
Lex Prime Blueprint,Uncommon (25.33%)
Silva & Aegis Prime Hilt,Uncommon (25.33%)
Sybaris Prime Blueprint,Uncommon (25.33%)
,
Lith C3 Relic (Exceptional),Lith C3 Relic (Exceptional)
Chroma Prime Neuroptics Blueprint,Rare (4.00%)
Braton Prime Blueprint,Uncommon (13.00%)
Helios Prime Blueprint,Uncommon (13.00%)
Lex Prime Blueprint,Uncommon (23.33%)
Silva & Aegis Prime Hilt,Uncommon (23.33%)
Sybaris Prime Blueprint,Uncommon (23.33%)
,
Lith C3 Relic (Flawless),Lith C3 Relic (Flawless)
Chroma Prime Neuroptics Blueprint,Rare (6.00%)
Braton Prime Blueprint,Uncommon (17.00%)
Helios Prime Blueprint,Uncommon (17.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Silva & Aegis Prime Hilt,Uncommon (20.00%)
Sybaris Prime Blueprint,Uncommon (20.00%)
,
Lith C3 Relic (Radiant),Lith C3 Relic (Radiant)
Chroma Prime Neuroptics Blueprint,Uncommon (10.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Helios Prime Blueprint,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (16.67%)
Silva & Aegis Prime Hilt,Uncommon (16.67%)
Sybaris Prime Blueprint,Uncommon (16.67%)
,
Lith C4 Relic (Intact),Lith C4 Relic (Intact)
Chroma Prime Neuroptics Blueprint,Rare (2.00%)
Orthos Prime Blade,Uncommon (11.00%)
Braton Prime Stock,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
Paris Prime Lower Limb,Uncommon (25.33%)
,
Lith C4 Relic (Exceptional),Lith C4 Relic (Exceptional)
Chroma Prime Neuroptics Blueprint,Rare (4.00%)
Orthos Prime Blade,Uncommon (13.00%)
Braton Prime Stock,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
Paris Prime Lower Limb,Uncommon (23.33%)
,
Lith C4 Relic (Flawless),Lith C4 Relic (Flawless)
Chroma Prime Neuroptics Blueprint,Rare (6.00%)
Orthos Prime Blade,Uncommon (17.00%)
Braton Prime Stock,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
Paris Prime Lower Limb,Uncommon (20.00%)
,
Lith C4 Relic (Radiant),Lith C4 Relic (Radiant)
Chroma Prime Neuroptics Blueprint,Uncommon (10.00%)
Orthos Prime Blade,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
Paris Prime Lower Limb,Uncommon (16.67%)
,
Lith C5 Relic (Intact),Lith C5 Relic (Intact)
Cernos Prime Lower Limb,Rare (2.00%)
Venka Prime Blueprint,Uncommon (11.00%)
Valkyr Prime Neuroptics Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Saryn Prime Neuroptics Blueprint,Uncommon (25.33%)
Spira Prime Blueprint,Uncommon (25.33%)
,
Lith C5 Relic (Exceptional),Lith C5 Relic (Exceptional)
Cernos Prime Lower Limb,Rare (4.00%)
Venka Prime Blueprint,Uncommon (13.00%)
Valkyr Prime Neuroptics Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Saryn Prime Neuroptics Blueprint,Uncommon (23.33%)
Spira Prime Blueprint,Uncommon (23.33%)
,
Lith C5 Relic (Flawless),Lith C5 Relic (Flawless)
Cernos Prime Lower Limb,Rare (6.00%)
Venka Prime Blueprint,Uncommon (17.00%)
Valkyr Prime Neuroptics Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Saryn Prime Neuroptics Blueprint,Uncommon (20.00%)
Spira Prime Blueprint,Uncommon (20.00%)
,
Lith C5 Relic (Radiant),Lith C5 Relic (Radiant)
Cernos Prime Lower Limb,Uncommon (10.00%)
Venka Prime Blueprint,Uncommon (20.00%)
Valkyr Prime Neuroptics Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Saryn Prime Neuroptics Blueprint,Uncommon (16.67%)
Spira Prime Blueprint,Uncommon (16.67%)
,
Lith C6 Relic (Intact),Lith C6 Relic (Intact)
Corinth Prime Stock,Rare (2.00%)
Braton Prime Receiver,Uncommon (11.00%)
Mesa Prime Blueprint,Uncommon (11.00%)
Equinox Prime Chassis Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
,
Lith C6 Relic (Exceptional),Lith C6 Relic (Exceptional)
Corinth Prime Stock,Rare (4.00%)
Braton Prime Receiver,Uncommon (13.00%)
Mesa Prime Blueprint,Uncommon (13.00%)
Equinox Prime Chassis Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
,
Lith C6 Relic (Flawless),Lith C6 Relic (Flawless)
Corinth Prime Stock,Rare (6.00%)
Braton Prime Receiver,Uncommon (17.00%)
Mesa Prime Blueprint,Uncommon (17.00%)
Equinox Prime Chassis Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
,
Lith C6 Relic (Radiant),Lith C6 Relic (Radiant)
Corinth Prime Stock,Uncommon (10.00%)
Braton Prime Receiver,Uncommon (20.00%)
Mesa Prime Blueprint,Uncommon (20.00%)
Equinox Prime Chassis Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Fang Prime Blade,Uncommon (16.67%)
,
Lith C7 Relic (Intact),Lith C7 Relic (Intact)
Cernos Prime Lower Limb,Rare (2.00%)
Nyx Prime Systems Blueprint,Uncommon (11.00%)
Scindo Prime Blueprint,Uncommon (11.00%)
Valkyr Prime Blueprint,Uncommon (25.33%)
Hikou Prime Pouch,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith C7 Relic (Exceptional),Lith C7 Relic (Exceptional)
Cernos Prime Lower Limb,Rare (4.00%)
Nyx Prime Systems Blueprint,Uncommon (13.00%)
Scindo Prime Blueprint,Uncommon (13.00%)
Valkyr Prime Blueprint,Uncommon (23.33%)
Hikou Prime Pouch,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith C7 Relic (Flawless),Lith C7 Relic (Flawless)
Cernos Prime Lower Limb,Rare (6.00%)
Nyx Prime Systems Blueprint,Uncommon (17.00%)
Scindo Prime Blueprint,Uncommon (17.00%)
Valkyr Prime Blueprint,Uncommon (20.00%)
Hikou Prime Pouch,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith C7 Relic (Radiant),Lith C7 Relic (Radiant)
Cernos Prime Lower Limb,Uncommon (10.00%)
Nyx Prime Systems Blueprint,Uncommon (20.00%)
Scindo Prime Blueprint,Uncommon (20.00%)
Valkyr Prime Blueprint,Uncommon (16.67%)
Hikou Prime Pouch,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith C8 Relic (Intact),Lith C8 Relic (Intact)
Chroma Prime Neuroptics Blueprint,Rare (2.00%)
Rubico Prime Stock,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Zephyr Prime Neuroptics Blueprint,Uncommon (25.33%)
Tiberon Prime Blueprint,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
,
Lith C8 Relic (Exceptional),Lith C8 Relic (Exceptional)
Chroma Prime Neuroptics Blueprint,Rare (4.00%)
Rubico Prime Stock,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Zephyr Prime Neuroptics Blueprint,Uncommon (23.33%)
Tiberon Prime Blueprint,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
,
Lith C8 Relic (Flawless),Lith C8 Relic (Flawless)
Chroma Prime Neuroptics Blueprint,Rare (6.00%)
Rubico Prime Stock,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Zephyr Prime Neuroptics Blueprint,Uncommon (20.00%)
Tiberon Prime Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
,
Lith C8 Relic (Radiant),Lith C8 Relic (Radiant)
Chroma Prime Neuroptics Blueprint,Uncommon (10.00%)
Rubico Prime Stock,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Zephyr Prime Neuroptics Blueprint,Uncommon (16.67%)
Tiberon Prime Blueprint,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
,
Lith C9 Relic (Intact),Lith C9 Relic (Intact)
Corinth Prime Stock,Rare (2.00%)
Scourge Prime Handle,Uncommon (11.00%)
Pandero Prime Barrel,Uncommon (11.00%)
Octavia Prime Systems Blueprint,Uncommon (25.33%)
Braton Prime Barrel,Uncommon (25.33%)
Paris Prime Upper Limb,Uncommon (25.33%)
,
Lith C9 Relic (Exceptional),Lith C9 Relic (Exceptional)
Corinth Prime Stock,Rare (4.00%)
Scourge Prime Handle,Uncommon (13.00%)
Pandero Prime Barrel,Uncommon (13.00%)
Octavia Prime Systems Blueprint,Uncommon (23.33%)
Braton Prime Barrel,Uncommon (23.33%)
Paris Prime Upper Limb,Uncommon (23.33%)
,
Lith C9 Relic (Flawless),Lith C9 Relic (Flawless)
Corinth Prime Stock,Rare (6.00%)
Scourge Prime Handle,Uncommon (17.00%)
Pandero Prime Barrel,Uncommon (17.00%)
Octavia Prime Systems Blueprint,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (20.00%)
Paris Prime Upper Limb,Uncommon (20.00%)
,
Lith C9 Relic (Radiant),Lith C9 Relic (Radiant)
Corinth Prime Stock,Uncommon (10.00%)
Scourge Prime Handle,Uncommon (20.00%)
Pandero Prime Barrel,Uncommon (20.00%)
Octavia Prime Systems Blueprint,Uncommon (16.67%)
Braton Prime Barrel,Uncommon (16.67%)
Paris Prime Upper Limb,Uncommon (16.67%)
,
Lith D1 Relic (Intact),Lith D1 Relic (Intact)
Dethcube Prime Blueprint,Rare (2.00%)
Mesa Prime Blueprint,Uncommon (11.00%)
Ninkondi Prime Chain,Uncommon (11.00%)
Atlas Prime Blueprint,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
,
Lith D1 Relic (Exceptional),Lith D1 Relic (Exceptional)
Dethcube Prime Blueprint,Rare (4.00%)
Mesa Prime Blueprint,Uncommon (13.00%)
Ninkondi Prime Chain,Uncommon (13.00%)
Atlas Prime Blueprint,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
,
Lith D1 Relic (Flawless),Lith D1 Relic (Flawless)
Dethcube Prime Blueprint,Rare (6.00%)
Mesa Prime Blueprint,Uncommon (17.00%)
Ninkondi Prime Chain,Uncommon (17.00%)
Atlas Prime Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
,
Lith D1 Relic (Radiant),Lith D1 Relic (Radiant)
Dethcube Prime Blueprint,Uncommon (10.00%)
Mesa Prime Blueprint,Uncommon (20.00%)
Ninkondi Prime Chain,Uncommon (20.00%)
Atlas Prime Blueprint,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
,
Lith D2 Relic (Intact),Lith D2 Relic (Intact)
Dethcube Prime Cerebrum,Rare (2.00%)
Fang Prime Handle,Uncommon (11.00%)
Redeemer Prime Blueprint,Uncommon (11.00%)
Equinox Prime Chassis Blueprint,Uncommon (25.33%)
Wukong Prime Neuroptics Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Lith D2 Relic (Exceptional),Lith D2 Relic (Exceptional)
Dethcube Prime Cerebrum,Rare (4.00%)
Fang Prime Handle,Uncommon (13.00%)
Redeemer Prime Blueprint,Uncommon (13.00%)
Equinox Prime Chassis Blueprint,Uncommon (23.33%)
Wukong Prime Neuroptics Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Lith D2 Relic (Flawless),Lith D2 Relic (Flawless)
Dethcube Prime Cerebrum,Rare (6.00%)
Fang Prime Handle,Uncommon (17.00%)
Redeemer Prime Blueprint,Uncommon (17.00%)
Equinox Prime Chassis Blueprint,Uncommon (20.00%)
Wukong Prime Neuroptics Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Lith D2 Relic (Radiant),Lith D2 Relic (Radiant)
Dethcube Prime Cerebrum,Uncommon (10.00%)
Fang Prime Handle,Uncommon (20.00%)
Redeemer Prime Blueprint,Uncommon (20.00%)
Equinox Prime Chassis Blueprint,Uncommon (16.67%)
Wukong Prime Neuroptics Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Lith D3 Relic (Intact),Lith D3 Relic (Intact)
Dethcube Prime Blueprint,Rare (2.00%)
Ninkondi Prime Chain,Uncommon (11.00%)
Corinth Prime Receiver,Uncommon (11.00%)
Burston Prime Stock,Uncommon (25.33%)
Ivara Prime Neuroptics Blueprint,Uncommon (25.33%)
Stradavar Prime Receiver,Uncommon (25.33%)
,
Lith D3 Relic (Exceptional),Lith D3 Relic (Exceptional)
Dethcube Prime Blueprint,Rare (4.00%)
Ninkondi Prime Chain,Uncommon (13.00%)
Corinth Prime Receiver,Uncommon (13.00%)
Burston Prime Stock,Uncommon (23.33%)
Ivara Prime Neuroptics Blueprint,Uncommon (23.33%)
Stradavar Prime Receiver,Uncommon (23.33%)
,
Lith D3 Relic (Flawless),Lith D3 Relic (Flawless)
Dethcube Prime Blueprint,Rare (6.00%)
Ninkondi Prime Chain,Uncommon (17.00%)
Corinth Prime Receiver,Uncommon (17.00%)
Burston Prime Stock,Uncommon (20.00%)
Ivara Prime Neuroptics Blueprint,Uncommon (20.00%)
Stradavar Prime Receiver,Uncommon (20.00%)
,
