Target Acquired,Target Acquired,Target Acquired
Eviscerator,3.00%,Uncommon (11.06%)
Kuva Eviscerator,3.00%,Uncommon (11.06%)
Kuva Trooper,3.00%,Uncommon (11.06%)
Arid Eviscerator,3.00%,Uncommon (11.06%)
Frontier Eviscerator,3.00%,Uncommon (11.06%)
Trooper,3.00%,Uncommon (11.06%)
Arid Trooper,3.00%,Uncommon (11.06%)
Frontier Trooper,3.00%,Uncommon (11.06%)
Trooper Survivor,3.00%,Uncommon (11.06%)
Narmer Trooper,3.00%,Uncommon (11.06%)
,,
Adhesive Blast,Adhesive Blast,Adhesive Blast
Source,Mod Drop Chance,Chance
Ancient Disruptor,3.00%,Ultra Rare (1.01%)
Tar Mutalist Moa,3.00%,Ultra Rare (1.01%)
Deimos Therid,3.00%,Ultra Rare (1.01%)
,,
Swirling Tiger,Swirling Tiger,Swirling Tiger
Source,Mod Drop Chance,Chance
Vapos Tech,3.00%,Rare (5.53%)
Vapos Anti Moa,3.00%,Rare (7.52%)
Optio,3.00%,Rare (5.53%)
Taro Disc Moa,3.00%,Rare (7.52%)
Orm Disc Moa,3.00%,Rare (7.52%)
Axio Disc Moa,3.00%,Rare (7.52%)
Vorac Disc Moa,3.00%,Rare (7.52%)
Corpus Tech,3.00%,Rare (5.53%)
Kuva Scorch,3.00%,Rare (5.64%)
Ghoul Auger,10.00%,Rare (5.53%)
Scorch,3.00%,Rare (5.64%)
Anti Moa,3.00%,Rare (7.52%)
Corpus Warden,3.00%,Rare (5.53%)
Latrox Une,3.00%,Rare (5.53%)
Narmer Corpus Tech,3.00%,Rare (5.53%)
Narmer Crewman Warden,3.00%,Rare (5.53%)
Narmer Scorch,3.00%,Rare (5.64%)
,,
Sudden Impact,Sudden Impact,Sudden Impact
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,12.50%,Uncommon (25.29%)
Tusk Dargyn,12.50%,Uncommon (25.29%)
Tusk Command Dargyn,12.50%,Uncommon (25.29%)
Locust Drone,20.00%,Common (37.94%)
Kuva Dargyn,12.50%,Uncommon (25.29%)
Zeplen,3.00%,Uncommon (25.81%)
Hellion Dargyn,12.50%,Uncommon (25.29%)
Gyre Eviscerator,5.00%,Uncommon (25.29%)
Gyre Supressor,5.00%,Uncommon (25.29%)
,,
Bane Of The Murmur,Bane Of The Murmur,Bane Of The Murmur
Source,Mod Drop Chance,Chance
Lumbering Fragment,1.50%,Rare (4.17%)
The Anatomizer,3.00%,Uncommon (20.41%)
,,
Slip Magazine,Slip Magazine,Slip Magazine
Source,Mod Drop Chance,Chance
Arcane Boiler,3.00%,Uncommon (15.18%)
Alad V,100.00%,Uncommon (25.29%)
Captain Vor,100.00%,Uncommon (25.29%)
Heavy Gunner,3.00%,Uncommon (18.97%)
Arid Heavy Gunner,3.00%,Uncommon (18.97%)
Frontier Heavy Gunner,3.00%,Uncommon (18.97%)
Commander,3.00%,Uncommon (25.81%)
Mutalist Alad V,100.00%,Uncommon (25.29%)
Boiler,3.00%,Uncommon (15.18%)
Toxic Ancient,3.00%,Uncommon (15.18%)
Corrupted Warden,3.00%,Uncommon (18.97%)
Grineer Warden,3.00%,Uncommon (18.97%)
Garv,3.00%,Uncommon (18.97%)
Narmer Gunner Warden,3.00%,Uncommon (18.97%)
Narmer Heavy Gunner,3.00%,Uncommon (18.97%)
,,
Atlantis Vulcan,Atlantis Vulcan,Atlantis Vulcan
Source,Mod Drop Chance,Chance
Aurax Baculus,3.00%,Rare (3.69%)
Orphid Specter,100.00%,Uncommon (21.05%)
Guardsman,3.00%,Rare (3.69%)
Ghoul Devourer,10.00%,Rare (3.69%)
,,
Shivering Contagion,Shivering Contagion,Shivering Contagion
Source,Mod Drop Chance,Chance
The Fragmented Suzerain,3.00%,Uncommon (20.20%)
The Severed Warden,3.00%,Uncommon (10.20%)
,,
Snap Shot,Snap Shot,Snap Shot
Source,Mod Drop Chance,Chance
Summulyst,15.00%,Uncommon (15.28%)
Ortholyst,15.00%,Uncommon (15.28%)
Conculyst,15.00%,Uncommon (15.28%)
Decaying Conculyst,15.00%,Uncommon (15.28%)
,,
Ferocity,Ferocity,Ferocity
Source,Mod Drop Chance,Chance
Tamm,3.00%,Legendary (0.22%)
Corrupted Drahk,3.00%,Legendary (0.22%)
Kubrow,3.00%,Legendary (0.22%)
Kuva Drahk,3.00%,Legendary (0.22%)
Drahk,3.00%,Legendary (0.22%)
,,
Shelter,Shelter,Shelter
Source,Mod Drop Chance,Chance
Tamm,3.00%,Rare (3.69%)
Corrupted Drahk,3.00%,Rare (3.69%)
Kubrow,3.00%,Rare (3.69%)
Kuva Drahk,3.00%,Rare (3.69%)
Drahk,3.00%,Rare (3.69%)
,,
Melee Influence,Melee Influence,Melee Influence
Source,Mod Drop Chance,Chance
Mocking Whisper,50.00%,Uncommon (12.50%)
Scathing Whisper,50.00%,Uncommon (12.50%)
,,
Galeforce Dawn,Galeforce Dawn,Galeforce Dawn
Source,Mod Drop Chance,Chance
Derivator Crewman,3.00%,Rare (7.37%)
Kuva Trokarian,3.00%,Rare (7.37%)
,,
Accelerated Isotope,Accelerated Isotope,Accelerated Isotope
Source,Mod Drop Chance,Chance
Netracell Culverin,3.00%,Rare (2.11%)
Rogue Culverin,3.00%,Rare (2.11%)
,,
Magazine Warp,Magazine Warp,Magazine Warp
Source,Mod Drop Chance,Chance
The Sergeant,100.00%,Common (38.72%)
Vapos Sapping Osprey,3.00%,Uncommon (25.29%)
Derivator Crewman,3.00%,Uncommon (25.29%)
Kuva Trokarian,3.00%,Uncommon (25.29%)
Sapping Osprey,3.00%,Uncommon (25.29%)
Heavy Gunner,3.00%,Uncommon (18.97%)
Arid Heavy Gunner,3.00%,Uncommon (18.97%)
Frontier Heavy Gunner,3.00%,Uncommon (18.97%)
Commander,3.00%,Uncommon (25.81%)
J3 Jordas Golem,100.00%,Common (37.94%)
Jordas Golem,100.00%,Common (37.94%)
Leech Osprey,3.00%,Uncommon (25.29%)
Corrupted Warden,3.00%,Uncommon (18.97%)
Grineer Warden,3.00%,Uncommon (18.97%)
Garv,3.00%,Uncommon (18.97%)
Narmer Leech Osprey,3.00%,Uncommon (25.29%)
Narmer Mine Osprey,3.00%,Uncommon (25.29%)
Narmer Sapping Osprey,3.00%,Uncommon (25.29%)
Narmer Gunner Warden,3.00%,Uncommon (18.97%)
Narmer Heavy Gunner,3.00%,Uncommon (18.97%)
Terra Attack Drone,5.00%,Uncommon (25.29%)
Terra Attack Drone,20.00%,Uncommon (25.29%)
Terra Shield Osprey,5.00%,Uncommon (25.29%)
Terra Shield Osprey,20.00%,Uncommon (25.29%)
Terra Oxium Osprey,5.00%,Uncommon (25.29%)
Terra Turret Osprey,5.00%,Uncommon (25.29%)
Primm,5.00%,Uncommon (25.29%)
Verd-Ie,5.00%,Uncommon (25.29%)
Orb Vallis - Spaceport Enemies,5.00%,Common (35.36%)
,,
Rupture,Rupture,Rupture
Source,Mod Drop Chance,Chance
Carrion Charger,3.00%,Uncommon (18.97%)
Electric Crawler,3.00%,Very Common (75.88%)
Charger,3.00%,Uncommon (18.97%)
Juggernaut Behemoth,3.00%,Uncommon (18.97%)
Juggernaut,3.00%,Uncommon (18.97%)
Jack O'Naut,3.00%,Uncommon (18.97%)
Polyp-Hog Juggernaut,3.00%,Uncommon (18.97%)
Deimos Juggernaut,3.00%,Uncommon (18.97%)
Deimos Juggernaut,3.00%,Uncommon (18.97%)
Deimos Charger,3.00%,Uncommon (18.97%)
,,
Molt Augmented,Molt Augmented,Molt Augmented
Source,Mod Drop Chance,Chance
Void Angel,25.00%,Rare (6.67%)
Ravenous Void Angel,10.00%,Rare (6.67%)
Thrax Centurion,5.00%,Rare (6.67%)
Thrax Legatus,5.00%,Rare (6.67%)
,,
Quick Return,Quick Return,Quick Return
Source,Mod Drop Chance,Chance
Corrupted Crewman,3.00%,Uncommon (32.47%)
Lephantis,100.00%,Common (37.94%)
,,
Arcane Acceleration,Arcane Acceleration,Arcane Acceleration
Source,Mod Drop Chance,Chance
Eidolon Gantulyst (Special),100.00%,Rare (9.25%)
Eidolon Gantulyst,100.00%,Uncommon (10.20%)
,,
Intruder,Intruder,Intruder
Source,Mod Drop Chance,Chance
Corrupted Drahk Master,3.00%,Very Common (75.88%)
Corrupted Heavy Gunner,3.00%,Very Common (75.88%)
Corrupted Bombard,3.00%,Very Common (75.88%)
Corrupted Nullifier,3.00%,Very Common (75.88%)
,,
Mecha Overdrive,Mecha Overdrive,Mecha Overdrive
Source,Mod Drop Chance,Chance
Corpus Trencher Target,20.00%,Uncommon (25.00%)
,,
Comet Blast,Comet Blast,Comet Blast
Source,Mod Drop Chance,Chance
Pyr Captain,15.00%,Uncommon (20.00%)
Lektro Commander,15.00%,Uncommon (20.00%)
,,
Meteor Crash,Meteor Crash,Meteor Crash
Source,Mod Drop Chance,Chance
Glacik Commander,15.00%,Uncommon (20.00%)
Blite Captain,15.00%,Uncommon (20.00%)
,,
Maglev,Maglev,Maglev
Source,Mod Drop Chance,Chance
Corrupted Ancient,3.00%,Rare (5.53%)
,,
Concussion Rounds,Concussion Rounds,Concussion Rounds
Source,Mod Drop Chance,Chance
Vapos Tech Ranger,10.00%,Rare (4.42%)
Vapos Elite Ranger,10.00%,Rare (4.42%)
Vapos Nullifier Ranger,10.00%,Rare (4.42%)
Vapos Detron Ranger,10.00%,Rare (4.42%)
Vapos Sniper Ranger,10.00%,Rare (4.42%)
Vapos Detron Crewman,3.00%,Rare (5.64%)
Taro Ranger Crewman,10.00%,Rare (4.42%)
Taro Zerca,3.00%,Rare (5.64%)
Taro Vambac,3.00%,Rare (5.64%)
Taro Numon,3.00%,Rare (5.64%)
Taro Detron Crewman,3.00%,Rare (5.64%)
Aurax Actinic,3.00%,Rare (5.64%)
Aurax Vertec,3.00%,Rare (5.64%)
Orm Zerca,3.00%,Rare (5.64%)
Orm Vambac,3.00%,Rare (5.64%)
Orm Numon,3.00%,Rare (5.64%)
Orm Ranger Crewman,10.00%,Rare (4.42%)
Orm Detron Crewman,3.00%,Rare (5.64%)
Axio Zerca,3.00%,Rare (5.64%)
Axio Vambac,3.00%,Rare (5.64%)
Axio Numon,3.00%,Rare (5.64%)
Axio Ranger Crewman,10.00%,Rare (4.42%)
Axio Detron Crewman,3.00%,Rare (5.64%)
Vorac Zerca,3.00%,Rare (5.64%)
Vorac Vambac,3.00%,Rare (5.64%)
Vorac Numon,3.00%,Rare (5.64%)
Vorac Ranger Crewman,10.00%,Rare (4.42%)
Vorac Detron Crewman,3.00%,Rare (5.64%)
Orphid Husks,3.00%,Uncommon (11.06%)
Volatile Runner,3.00%,Uncommon (11.06%)
Detron Crewman,3.00%,Rare (5.64%)
Deimos Runner,3.00%,Uncommon (11.06%)
Narmer Detron Crewman,3.00%,Rare (5.64%)
Narmer Elite Ranger,10.00%,Rare (4.42%)
Narmer Jailer,10.00%,Rare (4.42%)
Narmer Nullifier Ranger,10.00%,Rare (4.42%)
Narmer Detron Ranger,10.00%,Rare (4.42%)
Narmer Sniper Ranger,10.00%,Rare (4.42%)
Narmer Tech Ranger,10.00%,Rare (4.42%)
Narmer Crewman,3.00%,Rare (5.64%)
Terra Manker,10.00%,Rare (4.42%)
Terra Manker,20.00%,Rare (4.42%)
Terra Elite Provisor,10.00%,Rare (4.42%)
Terra Provisor,10.00%,Rare (4.42%)
Terra Provisor,20.00%,Rare (4.42%)
Terra Elite Overtaker,10.00%,Rare (4.42%)
Terra Overtaker,10.00%,Rare (4.42%)
Terra Overtaker,20.00%,Rare (4.42%)
Terra Jailer,10.00%,Rare (4.42%)
Terra Cestra Manker,10.00%,Rare (4.42%)
Terra Elite Trencher,10.00%,Rare (4.42%)
Terra Nullifier Crewman,10.00%,Rare (4.42%)
Terra Trencher,10.00%,Rare (4.42%)
Terra Trencher,20.00%,Rare (4.42%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Rare (2.75%)
,,
Carving Mantis,Carving Mantis,Carving Mantis
Source,Mod Drop Chance,Chance
Plains Commander,100.00%,Legendary (0.50%)
Mimic,30.00%,Rare (7.14%)
,,
Seeking Force,Seeking Force,Seeking Force
Source,Mod Drop Chance,Chance
Kuva Powerclaw,3.00%,Ultra Rare (1.01%)
Powerfist,3.00%,Ultra Rare (1.01%)
Narmer Powerfist,3.00%,Ultra Rare (1.01%)
,,
Aviator,Aviator,Aviator
Source,Mod Drop Chance,Chance
Kuva Trokarian,3.00%,Uncommon (25.29%)
Nox,3.00%,Uncommon (19.36%)
Anu Brachiolyst,7.00%,Very Common (86.44%)
Anu Mantalyst,7.00%,Very Common (86.44%)
Anu Pyrolyst,7.00%,Very Common (86.44%)
Anu Symbilyst,7.00%,Very Common (86.44%)
,,
Air Recon,Air Recon,Air Recon
Source,Mod Drop Chance,Chance
Brachiolyst Disperser,5.00%,Uncommon (30.56%)
Erra,25.00%,Uncommon (30.56%)
Brachiolyst,5.00%,Uncommon (30.56%)
Tyro Conculyst,25.00%,Uncommon (30.56%)
Symbilyst,25.00%,Uncommon (30.56%)
Battalyst,25.00%,Uncommon (30.56%)
Decaying Battalyst,25.00%,Uncommon (30.56%)
,,
Sawtooth Clip,Sawtooth Clip,Sawtooth Clip
Source,Mod Drop Chance,Chance
Derivator Crewman,3.00%,Uncommon (25.29%)
Tusk Seeker,3.00%,Very Common (75.88%)
Kuva Trokarian,3.00%,Uncommon (25.29%)
Kuva Seeker,3.00%,Very Common (75.88%)
Arid Seeker,3.00%,Very Common (75.88%)
Frontier Seeker,3.00%,Very Common (75.88%)
Seeker,3.00%,Very Common (75.88%)
Grineer Manic,3.00%,Very Common (75.88%)
Drekar Seeker,3.00%,Very Common (75.88%)
Narmer Seeker,3.00%,Very Common (75.88%)
,,
Charged Bullets,Charged Bullets,Charged Bullets
Source,Mod Drop Chance,Chance
Lektro Commander,15.00%,Uncommon (20.00%)
Profit-Taker,100.00%,Rare (2.56%)
,,
Saxum Thorax,Saxum Thorax,Saxum Thorax
Source,Mod Drop Chance,Chance
Deimos Saxum Rex,10.00%,Very Common (75.88%)
Deimos Saxum,10.00%,Very Common (75.88%)
,,
Bane Of Corpus,Bane Of Corpus,Bane Of Corpus
Source,Mod Drop Chance,Chance
Demolisher Machinist,15.00%,Uncommon (25.00%)
Demolisher Machinist,15.00%,Uncommon (25.00%)
Demolisher Hyena,15.00%,Uncommon (25.00%)
Demolisher Hyena,15.00%,Uncommon (25.00%)
Demolisher Anti Moa,15.00%,Uncommon (25.00%)
Demolisher Anti Moa,15.00%,Uncommon (25.00%)
Demolisher Bursa,15.00%,Uncommon (25.00%)
Demolisher Bursa,15.00%,Uncommon (25.00%)
Crawler,3.00%,Rare (7.37%)
,,
Disruptor,Disruptor,Disruptor
Source,Mod Drop Chance,Chance
Tusk Eviscerator,3.00%,Uncommon (18.97%)
Tusk Trooper,3.00%,Uncommon (18.97%)
Eviscerator,3.00%,Uncommon (18.97%)
Kuva Eviscerator,3.00%,Uncommon (18.97%)
Kuva Trooper,3.00%,Uncommon (18.97%)
Arid Eviscerator,3.00%,Uncommon (18.97%)
Frontier Eviscerator,3.00%,Uncommon (18.97%)
Trooper,3.00%,Uncommon (18.97%)
Arid Trooper,3.00%,Uncommon (18.97%)
Frontier Trooper,3.00%,Uncommon (18.97%)
Drekar Eviscerator,3.00%,Uncommon (18.97%)
Drekar Trooper,3.00%,Uncommon (18.97%)
Trooper Survivor,3.00%,Uncommon (18.97%)
Narmer Trooper,3.00%,Uncommon (18.97%)
,,
Convulsion,Convulsion,Convulsion
Source,Mod Drop Chance,Chance
Vapos Oxium Osprey,3.00%,Rare (7.37%)
Taro Secura Osprey,3.00%,Rare (7.37%)
Zealot Proselytizer,20.00%,Uncommon (22.92%)
Zealot Herald,20.00%,Uncommon (22.92%)
Zealot Baptizer,20.00%,Uncommon (22.92%)
Carrion Charger,3.00%,Rare (7.37%)
Kuva Larvling,20.00%,Uncommon (22.92%)
Juno Oxium Osprey,3.00%,Rare (7.37%)
Saturn Six Fugitive,20.00%,Uncommon (22.92%)
Attack Drone,3.00%,Rare (7.37%)
Remech Osprey,3.00%,Rare (7.37%)
Nemes,3.00%,Rare (7.37%)
Carabus,3.00%,Rare (7.37%)
Frontier Regulator,3.00%,Rare (7.37%)
Regulator,3.00%,Rare (7.37%)
Charger,3.00%,Rare (7.37%)
Juggernaut Behemoth,3.00%,Rare (7.37%)
Juggernaut,3.00%,Rare (7.37%)
Jack O'Naut,3.00%,Rare (7.37%)
Sensor Regulator,3.00%,Rare (7.37%)
Oxium Osprey,3.00%,Rare (7.37%)
Rathuum Broadcaster,3.00%,Rare (7.37%)
Polyp-Hog Juggernaut,3.00%,Rare (7.37%)
Deimos Juggernaut,3.00%,Rare (7.37%)
Deimos Juggernaut,3.00%,Rare (7.37%)
Deimos Charger,3.00%,Rare (7.37%)
Narmer Observation Drone,3.00%,Rare (7.37%)
Narmer Oxium Osprey,3.00%,Rare (7.37%)
Narmer Regulator,3.00%,Rare (7.37%)
Observation Drone,3.00%,Rare (7.37%)
Terra Attack Drone,5.00%,Rare (3.69%)
Terra Attack Drone,20.00%,Rare (3.69%)
Terra Shield Osprey,5.00%,Rare (3.69%)
Terra Shield Osprey,20.00%,Rare (3.69%)
Terra Oxium Osprey,5.00%,Rare (3.69%)
Terra Turret Osprey,3.00%,Rare (7.37%)
Terra Turret Osprey,5.00%,Rare (3.69%)
Primm,5.00%,Rare (3.69%)
Verd-Ie,5.00%,Rare (3.69%)
Exploiter Orb,100.00%,Rare (4.51%)
,,
Radiated Reload,Radiated Reload,Radiated Reload
Source,Mod Drop Chance,Chance
Netracell Culverin,3.00%,Rare (2.11%)
Rogue Bonewidow,3.00%,Common (33.33%)
Rogue Culverin,3.00%,Rare (2.11%)
Rogue Voidrig,3.00%,Common (33.33%)
,,
Ammo Stock,Ammo Stock,Ammo Stock
Source,Mod Drop Chance,Chance
Tusk Napalm,3.00%,Rare (5.53%)
Kuva Napalm,3.00%,Rare (5.53%)
Napalm,3.00%,Rare (5.53%)
Narmer Napalm,3.00%,Rare (5.53%)
,,
Mecha Empowered,Mecha Empowered,Mecha Empowered
Source,Mod Drop Chance,Chance
Corpus Trencher Target,20.00%,Uncommon (25.00%)
,,
Kinetic Ricochet,Kinetic Ricochet,Kinetic Ricochet
Source,Mod Drop Chance,Chance
Ved Xol,10.00%,Uncommon (12.50%)
Nako Xol,10.00%,Uncommon (12.50%)
Pelna Cade,10.00%,Uncommon (12.50%)
Lockjaw & Sol,10.00%,Uncommon (12.50%)
Jad Teran,10.00%,Uncommon (12.50%)
Azoth,10.00%,Uncommon (12.50%)
Raptor Rx,10.00%,Uncommon (12.50%)
Auditor,10.00%,Uncommon (12.50%)
Jen Dro,10.00%,Uncommon (12.50%)
Derim Zahn,10.00%,Uncommon (12.50%)
M-W.A.M.,10.00%,Uncommon (12.50%)
Tia Mayn,10.00%,Uncommon (12.50%)
Armis Ulta,10.00%,Uncommon (12.50%)
Dru Pesfor,10.00%,Uncommon (12.50%)
Rana Del,10.00%,Uncommon (12.50%)
002-Er,10.00%,Uncommon (12.50%)
,,
Vigilante Pursuit,Vigilante Pursuit,Vigilante Pursuit
Source,Mod Drop Chance,Chance
Plains Commander,100.00%,Uncommon (11.06%)
,,
Pain Threshold,Pain Threshold,Pain Threshold
Source,Mod Drop Chance,Chance
Ved Xol,10.00%,Uncommon (12.50%)
Nako Xol,10.00%,Uncommon (12.50%)
Pelna Cade,10.00%,Uncommon (12.50%)
Lockjaw & Sol,10.00%,Uncommon (12.50%)
Jad Teran,10.00%,Uncommon (12.50%)
Azoth,10.00%,Uncommon (12.50%)
Raptor Rx,10.00%,Uncommon (12.50%)
Auditor,10.00%,Uncommon (12.50%)
Jen Dro,10.00%,Uncommon (12.50%)
Derim Zahn,10.00%,Uncommon (12.50%)
M-W.A.M.,10.00%,Uncommon (12.50%)
Tia Mayn,10.00%,Uncommon (12.50%)
Armis Ulta,10.00%,Uncommon (12.50%)
Dru Pesfor,10.00%,Uncommon (12.50%)
Rana Del,10.00%,Uncommon (12.50%)
002-Er,10.00%,Uncommon (12.50%)
,,
Hell's Chamber,Hell's Chamber,Hell's Chamber
Source,Mod Drop Chance,Chance
Vem Tabook,25.00%,Uncommon (20.00%)
Leekter,50.00%,Uncommon (20.00%)
Shik Tal,50.00%,Uncommon (20.00%)
Vapos Oxium Osprey,3.00%,Ultra Rare (1.01%)
Taro Secura Osprey,3.00%,Ultra Rare (1.01%)
Juno Elite Crewman,3.00%,Legendary (0.67%)
Juno Oxium Osprey,3.00%,Ultra Rare (1.01%)
Attack Drone,3.00%,Ultra Rare (1.01%)
Remech Osprey,3.00%,Ultra Rare (1.01%)
Nemes,3.00%,Ultra Rare (1.01%)
Carabus,3.00%,Ultra Rare (1.01%)
Frontier Regulator,3.00%,Ultra Rare (1.01%)
Regulator,3.00%,Ultra Rare (1.01%)
Sensor Regulator,3.00%,Ultra Rare (1.01%)
Oxium Osprey,3.00%,Ultra Rare (1.01%)
Rathuum Broadcaster,3.00%,Ultra Rare (1.01%)
Narmer Observation Drone,3.00%,Ultra Rare (1.01%)
Narmer Oxium Osprey,3.00%,Ultra Rare (1.01%)
Narmer Regulator,3.00%,Ultra Rare (1.01%)
Observation Drone,3.00%,Ultra Rare (1.01%)
Terra Turret Osprey,3.00%,Ultra Rare (1.01%)
,,
Bullet Dance,Bullet Dance,Bullet Dance
Source,Mod Drop Chance,Chance
Kuva Lich Agor Rok (Level 70 - 79),3.00%,Legendary (0.52%)
,,
Emergence Renewed,Emergence Renewed,Emergence Renewed
Source,Mod Drop Chance,Chance
Void Angel,25.00%,Rare (6.67%)
Ravenous Void Angel,10.00%,Rare (6.67%)
Thrax Centurion,5.00%,Rare (6.67%)
Thrax Legatus,5.00%,Rare (6.67%)
,,
Quicklock,Quicklock,Quicklock
Source,Mod Drop Chance,Chance
Elite Orm Harpi,15.00%,Uncommon (29.83%)
Orm Harpi,15.00%,Common (37.94%)
Elite Vorac Basilisk,15.00%,Uncommon (16.25%)
Vorac Basilisk,15.00%,Uncommon (25.29%)
Elite Exo Taktis,15.00%,Uncommon (29.83%)
Exo Taktis,15.00%,Common (37.94%)
Elite Kosma Cutter,15.00%,Common (59.66%)
Elite Gyre Flak,15.00%,Uncommon (29.83%)
Gyre Flak,15.00%,Common (37.94%)
,,
Aero Vantage,Aero Vantage,Aero Vantage
Source,Mod Drop Chance,Chance
Amalgam Moa,15.00%,Rare (5.76%)
Amalgam Kucumatz,15.00%,Rare (5.76%)
Demolyst Machinist,15.00%,Rare (5.76%)
Demolyst Heqet,15.00%,Rare (5.76%)
Amalgam Osprey,15.00%,Rare (5.76%)
Demolyst Moa,15.00%,Rare (5.76%)
Amalgam Satyr,15.00%,Rare (5.76%)
Demolyst Osprey,15.00%,Rare (5.76%)
Amalgam Alkonost,15.00%,Rare (5.76%)
Amalgam Machinist,15.00%,Rare (5.76%)
Demolyst Satyr,15.00%,Rare (5.76%)
Amalgam Heqet,15.00%,Rare (5.76%)
Amalgam Cinder Machinist,15.00%,Rare (5.76%)
Amalgam Arca Kucumatz,15.00%,Rare (5.76%)
Amalgam Arca Heqet,15.00%,Rare (5.76%)
Amalgam Phase Moa,15.00%,Rare (5.76%)
Amalgam Swarm Satyr,15.00%,Rare (5.76%)
Aurax Culveri Moa,15.00%,Rare (5.76%)
Aurax Polaris Moa,15.00%,Rare (5.76%)
,,
Gladiator Vice,Gladiator Vice,Gladiator Vice
Source,Mod Drop Chance,Chance
Tusk Thumper Doma,15.00%,Uncommon (12.50%)
Tusk Thumper Bull,15.00%,Uncommon (12.50%)
Tusk Thumper,15.00%,Uncommon (12.50%)
Aerial Commander,100.00%,Legendary (0.50%)
Narmer Thumper Doma,15.00%,Uncommon (12.50%)
Narmer Thumper Bull,15.00%,Uncommon (12.50%)
Narmer Thumper,15.00%,Uncommon (12.50%)
,,
Broad Eye,Broad Eye,Broad Eye
Source,Mod Drop Chance,Chance
Brachiolyst Disperser,5.00%,Uncommon (30.56%)
Erra,25.00%,Uncommon (30.56%)
Brachiolyst,5.00%,Uncommon (30.56%)
Tyro Conculyst,25.00%,Uncommon (30.56%)
Symbilyst,25.00%,Uncommon (30.56%)
Battalyst,25.00%,Uncommon (30.56%)
Decaying Battalyst,25.00%,Uncommon (30.56%)
,,
Fomorian Accelerant,Fomorian Accelerant,Fomorian Accelerant
Source,Mod Drop Chance,Chance
Kela De Thaym,100.00%,Uncommon (11.11%)
,,
Vigilante Supplies,Vigilante Supplies,Vigilante Supplies
Source,Mod Drop Chance,Chance
Tusk Thumper Doma,15.00%,Uncommon (12.50%)
Tusk Thumper Bull,15.00%,Uncommon (12.50%)
Tusk Thumper,15.00%,Uncommon (12.50%)
Plains Commander,100.00%,Legendary (0.50%)
Narmer Thumper Doma,15.00%,Uncommon (12.50%)
Narmer Thumper Bull,15.00%,Uncommon (12.50%)
Narmer Thumper,15.00%,Uncommon (12.50%)
,,
Eternal Logistics,Eternal Logistics,Eternal Logistics
Source,Mod Drop Chance,Chance
Void Angel,25.00%,Rare (6.67%)
Ravenous Void Angel,10.00%,Rare (6.67%)
Thrax Centurion,5.00%,Rare (6.67%)
Thrax Legatus,5.00%,Rare (6.67%)
,,
Concealed Explosives,Concealed Explosives,Concealed Explosives
Source,Mod Drop Chance,Chance
Juno Jactus Osprey,3.00%,Legendary (0.67%)
Venin Mutalist,3.00%,Legendary (0.67%)
Mine Osprey,3.00%,Legendary (0.67%)
Mutalist Osprey,3.00%,Legendary (0.67%)
Sikula,3.00%,Legendary (0.67%)
Deimos Venin Mutalist,3.00%,Legendary (0.67%)
Narmer Mine Osprey,3.00%,Legendary (0.67%)
Terra Attack Drone,5.00%,Legendary (0.67%)
Terra Attack Drone,20.00%,Legendary (0.67%)
Terra Shield Osprey,5.00%,Legendary (0.67%)
Terra Shield Osprey,20.00%,Legendary (0.67%)
Terra Oxium Osprey,5.00%,Legendary (0.67%)
Terra Turret Osprey,5.00%,Legendary (0.67%)
Primm,5.00%,Legendary (0.67%)
Verd-Ie,5.00%,Legendary (0.67%)
,,
Fetch,Fetch,Fetch
Source,Mod Drop Chance,Chance
Leaping Thrasher,4.50%,Rare (7.37%)
Undying Flyer,4.50%,Uncommon (11.06%)
Deimos Leaping Thrasher,4.50%,Rare (7.37%)
Deimos Carnis,4.50%,Rare (7.37%)
Deimos Jugulus,4.50%,Rare (7.37%)
Deimos Saxum,4.50%,Rare (7.37%)
Basal Diploid,3.50%,Rare (5.53%)
Basal Diploid Rex,3.50%,Rare (5.53%)
Feral Diploid,3.50%,Rare (5.53%)
Feral Diploid Rex,3.50%,Rare (5.53%)
Icemire Hyena,10.00%,Uncommon (32.84%)
Rabbleback Hyena,10.00%,Uncommon (32.84%)
Gyre Hyena,10.00%,Uncommon (32.84%)
Cinderthresh Hyena,10.00%,Uncommon (32.84%)
Orb Vallis - Temple of Profit Enemies,5.00%,Rare (3.69%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Rare (2.75%)
Orb Vallis - Spaceport Enemies,5.00%,Rare (2.81%)
,,
Rage,Rage,Rage
Source,Mod Drop Chance,Chance
Tusk Napalm,3.00%,Rare (2.01%)
Kuva Napalm,3.00%,Rare (2.01%)
Napalm,3.00%,Rare (2.01%)
Infested Mesa,3.00%,Uncommon (20.00%)
Tenno Specter,3.00%,Uncommon (20.00%)
Narmer Napalm,3.00%,Rare (2.01%)
Chroma,3.00%,Uncommon (20.00%)
,,
Arcane Velocity,Arcane Velocity,Arcane Velocity
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst (Special),100.00%,Uncommon (16.79%)
Eidolon Hydrolyst,100.00%,Uncommon (22.23%)
,,
80 Endo,80 Endo,80 Endo
Source,Mod Drop Chance,Chance
