Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
"2,500 Credits Cache",Uncommon (16.67%)
"2,500 Credits Cache",Uncommon (16.67%)
100 Endo,Uncommon (16.67%)
100 Endo,Uncommon (16.67%)
100 Endo,Uncommon (16.67%)
Rotation B,Rotation B
Provoked,Rare (7.14%)
Steel Fiber,Rare (7.14%)
Serration,Rare (7.14%)
Hornet Strike,Rare (7.14%)
Fast Deflection,Rare (7.14%)
Charged Shell,Rare (7.14%)
Vital Sense,Rare (7.14%)
Meso P14 Relic,Rare (7.14%)
Meso G5 Relic,Rare (7.14%)
Meso M4 Relic,Rare (7.14%)
Meso P13 Relic,Rare (7.14%)
Meso B8 Relic,Rare (7.14%)
Meso W3 Relic,Rare (7.14%)
Meso C9 Relic,Rare (7.14%)
Rotation C,Rotation C
Cleanse Corpus,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Neo F2 Relic,Uncommon (11.06%)
Neo Z10 Relic,Uncommon (11.06%)
Neo D8 Relic,Uncommon (11.06%)
Neo S18 Relic,Uncommon (11.06%)
Neo K6 Relic,Uncommon (11.06%)
Neo K7 Relic,Uncommon (11.06%)
Neo N23 Relic,Uncommon (11.06%)
,
Saturn/Dione (Spy),Saturn/Dione (Spy)
Rotation A,Rotation A
Vitality,Rare (9.09%)
Magazine Warp,Rare (9.09%)
Trick Mag,Rare (9.09%)
Pressure Point,Rare (9.09%)
Ammo Drum,Rare (9.09%)
Fast Hands,Rare (9.09%)
Point Strike,Rare (9.09%)
Piercing Hit,Rare (9.09%)
Pistol Gambit,Rare (9.09%)
Blunderbuss,Rare (9.09%)
Live Wire,Rare (9.09%)
Rotation B,Rotation B
Speed Trigger,Rare (5.56%)
Fast Deflection,Rare (5.56%)
Rush,Rare (5.56%)
Target Cracker,Rare (5.56%)
No Return,Rare (5.56%)
Serration,Rare (5.56%)
Hornet Strike,Rare (5.56%)
Reflex Coil,Rare (5.56%)
Deep Freeze,Rare (5.56%)
North Wind,Rare (5.56%)
Cryo Rounds,Rare (5.56%)
Hell's Chamber,Rare (5.56%)
Streamline,Rare (5.56%)
Shocking Touch,Rare (5.56%)
Stormbringer,Rare (5.56%)
Point Blank,Rare (5.56%)
Fury,Rare (5.56%)
50 Endo,Rare (5.56%)
Rotation C,Rotation C
Metal Auger,Rare (5.64%)
Rime Rounds,Rare (5.64%)
Scattering Inferno,Rare (5.64%)
Ivara Chassis Blueprint,Rare (5.64%)
Meso P14 Relic,Uncommon (11.06%)
Meso G5 Relic,Uncommon (11.06%)
Meso M4 Relic,Uncommon (11.06%)
Meso P13 Relic,Uncommon (11.06%)
Meso B8 Relic,Uncommon (11.06%)
Meso W3 Relic,Uncommon (11.06%)
Meso C9 Relic,Uncommon (11.06%)
,
Saturn/Mordo Cluster (Skirmish),Saturn/Mordo Cluster (Skirmish)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
2X Riven Sliver,Rare (5.50%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Ii,Rare (6.00%)
Lavan Reactor Mk Ii,Rare (6.00%)
Lavan Shield Array Mk Ii,Rare (6.00%)
Lavan Plating Mk Ii,Rare (6.00%)
Vidar Engines Mk Ii,Rare (6.00%)
Vidar Reactor Mk Ii,Rare (6.00%)
Vidar Shield Array Mk Ii,Rare (6.00%)
Vidar Plating Mk Ii,Rare (6.00%)
Meso P14 Relic,Rare (2.00%)
Meso G5 Relic,Rare (2.00%)
Meso M4 Relic,Rare (2.00%)
Meso P13 Relic,Rare (2.00%)
Meso B8 Relic,Rare (2.00%)
Meso W3 Relic,Rare (2.00%)
Meso C9 Relic,Rare (2.00%)
,
Saturn/Mordo Cluster (Skirmish) Extra,Saturn/Mordo Cluster (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Saturn/Mordo Cluster (Caches),Saturn/Mordo Cluster (Caches)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
Oberon Chassis Blueprint,Uncommon (10.00%)
Countermeasures,Rare (4.03%)
Munitions Vortex,Rare (4.03%)
Blackout Pulse,Rare (4.03%)
Meso P14 Relic,Rare (5.99%)
Meso G5 Relic,Rare (5.99%)
Meso M4 Relic,Rare (5.99%)
Meso P13 Relic,Rare (5.99%)
Meso B8 Relic,Rare (5.99%)
Meso W3 Relic,Rare (5.99%)
Meso C9 Relic,Rare (5.99%)
Lith C7 Relic,Rare (6.00%)
,
Saturn/Kasio's Rest (Skirmish),Saturn/Kasio's Rest (Skirmish)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
2X Riven Sliver,Rare (5.50%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Ii,Rare (6.00%)
Lavan Reactor Mk Ii,Rare (6.00%)
Lavan Shield Array Mk Ii,Rare (6.00%)
Lavan Plating Mk Ii,Rare (6.00%)
Vidar Engines Mk Ii,Rare (6.00%)
Vidar Reactor Mk Ii,Rare (6.00%)
Vidar Shield Array Mk Ii,Rare (6.00%)
Vidar Plating Mk Ii,Rare (6.00%)
Meso P14 Relic,Rare (2.00%)
Meso G5 Relic,Rare (2.00%)
Meso M4 Relic,Rare (2.00%)
Meso P13 Relic,Rare (2.00%)
Meso B8 Relic,Rare (2.00%)
Meso W3 Relic,Rare (2.00%)
Meso C9 Relic,Rare (2.00%)
,
Saturn/Kasio's Rest (Skirmish) Extra,Saturn/Kasio's Rest (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Saturn/Kasio's Rest (Caches),Saturn/Kasio's Rest (Caches)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
Oberon Chassis Blueprint,Uncommon (10.00%)
Countermeasures,Rare (4.03%)
Munitions Vortex,Rare (4.03%)
Blackout Pulse,Rare (4.03%)
Meso P14 Relic,Rare (5.99%)
Meso G5 Relic,Rare (5.99%)
Meso M4 Relic,Rare (5.99%)
Meso P13 Relic,Rare (5.99%)
Meso B8 Relic,Rare (5.99%)
Meso W3 Relic,Rare (5.99%)
Meso C9 Relic,Rare (5.99%)
Lith C7 Relic,Rare (6.00%)
,
Saturn/Nodo Gap (Skirmish),Saturn/Nodo Gap (Skirmish)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
2X Riven Sliver,Rare (5.50%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Ii,Rare (6.00%)
Lavan Reactor Mk Ii,Rare (6.00%)
Lavan Shield Array Mk Ii,Rare (6.00%)
Lavan Plating Mk Ii,Rare (6.00%)
Vidar Engines Mk Ii,Rare (6.00%)
Vidar Reactor Mk Ii,Rare (6.00%)
Vidar Shield Array Mk Ii,Rare (6.00%)
Vidar Plating Mk Ii,Rare (6.00%)
Meso P14 Relic,Rare (2.00%)
Meso G5 Relic,Rare (2.00%)
Meso M4 Relic,Rare (2.00%)
Meso P13 Relic,Rare (2.00%)
Meso B8 Relic,Rare (2.00%)
Meso W3 Relic,Rare (2.00%)
Meso C9 Relic,Rare (2.00%)
,
Saturn/Nodo Gap (Skirmish) Extra,Saturn/Nodo Gap (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Saturn/Nodo Gap (Caches),Saturn/Nodo Gap (Caches)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
Oberon Chassis Blueprint,Uncommon (10.00%)
Countermeasures,Rare (4.03%)
Munitions Vortex,Rare (4.03%)
Blackout Pulse,Rare (4.03%)
Meso P14 Relic,Rare (5.99%)
Meso G5 Relic,Rare (5.99%)
Meso M4 Relic,Rare (5.99%)
Meso P13 Relic,Rare (5.99%)
Meso B8 Relic,Rare (5.99%)
Meso W3 Relic,Rare (5.99%)
Meso C9 Relic,Rare (5.99%)
Lith C7 Relic,Rare (6.00%)
,
Saturn/Lupal Pass (Skirmish),Saturn/Lupal Pass (Skirmish)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
2X Riven Sliver,Rare (5.50%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Ii,Rare (6.00%)
Lavan Reactor Mk Ii,Rare (6.00%)
Lavan Shield Array Mk Ii,Rare (6.00%)
Lavan Plating Mk Ii,Rare (6.00%)
Vidar Engines Mk Ii,Rare (6.00%)
Vidar Reactor Mk Ii,Rare (6.00%)
Vidar Shield Array Mk Ii,Rare (6.00%)
Vidar Plating Mk Ii,Rare (6.00%)
Meso P14 Relic,Rare (2.00%)
Meso G5 Relic,Rare (2.00%)
Meso M4 Relic,Rare (2.00%)
Meso P13 Relic,Rare (2.00%)
Meso B8 Relic,Rare (2.00%)
Meso W3 Relic,Rare (2.00%)
Meso C9 Relic,Rare (2.00%)
,
Saturn/Lupal Pass (Skirmish) Extra,Saturn/Lupal Pass (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Saturn/Lupal Pass (Caches),Saturn/Lupal Pass (Caches)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
Oberon Chassis Blueprint,Uncommon (10.00%)
Countermeasures,Rare (4.03%)
Munitions Vortex,Rare (4.03%)
Blackout Pulse,Rare (4.03%)
Meso P14 Relic,Rare (5.99%)
Meso G5 Relic,Rare (5.99%)
Meso M4 Relic,Rare (5.99%)
Meso P13 Relic,Rare (5.99%)
Meso B8 Relic,Rare (5.99%)
Meso W3 Relic,Rare (5.99%)
Meso C9 Relic,Rare (5.99%)
Lith C7 Relic,Rare (6.00%)
,
Saturn/Vand Cluster (Skirmish),Saturn/Vand Cluster (Skirmish)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
2X Riven Sliver,Rare (5.50%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Ii,Rare (6.00%)
Lavan Reactor Mk Ii,Rare (6.00%)
Lavan Shield Array Mk Ii,Rare (6.00%)
Lavan Plating Mk Ii,Rare (6.00%)
Vidar Engines Mk Ii,Rare (6.00%)
Vidar Reactor Mk Ii,Rare (6.00%)
Vidar Shield Array Mk Ii,Rare (6.00%)
Vidar Plating Mk Ii,Rare (6.00%)
Meso P14 Relic,Rare (2.00%)
Meso G5 Relic,Rare (2.00%)
Meso M4 Relic,Rare (2.00%)
Meso P13 Relic,Rare (2.00%)
Meso B8 Relic,Rare (2.00%)
Meso W3 Relic,Rare (2.00%)
Meso C9 Relic,Rare (2.00%)
,
Saturn/Vand Cluster (Skirmish) Extra,Saturn/Vand Cluster (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Saturn/Vand Cluster (Caches),Saturn/Vand Cluster (Caches)
300 Endo,Uncommon (20.00%)
450 Endo,Uncommon (10.00%)
Oberon Chassis Blueprint,Uncommon (10.00%)
Countermeasures,Rare (4.03%)
Munitions Vortex,Rare (4.03%)
Blackout Pulse,Rare (4.03%)
Meso P14 Relic,Rare (5.99%)
Meso G5 Relic,Rare (5.99%)
Meso M4 Relic,Rare (5.99%)
Meso P13 Relic,Rare (5.99%)
Meso B8 Relic,Rare (5.99%)
Meso W3 Relic,Rare (5.99%)
Meso C9 Relic,Rare (5.99%)
Lith C7 Relic,Rare (6.00%)
,
Event: Saturn/Mimas (Rescue),Event: Saturn/Mimas (Rescue)
Rotation A,Rotation A
Vapor Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Phase Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Force Specter Blueprint,Very Common (100.00%)
,
Saturn/Tethys (Assassination),Saturn/Tethys (Assassination)
Ember Neuroptics Blueprint,Common (38.72%)
Ember Chassis Blueprint,Common (38.72%)
Ember Systems Blueprint,Uncommon (22.56%)
,
Event: Saturn/Phoebe (Capture),Event: Saturn/Phoebe (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Saturn/Rhea (Interception),Saturn/Rhea (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Meso P14 Relic,Uncommon (10.00%)
Meso G5 Relic,Uncommon (10.00%)
Meso M4 Relic,Uncommon (10.00%)
Meso P13 Relic,Uncommon (10.00%)
Meso B8 Relic,Uncommon (10.00%)
Meso W3 Relic,Uncommon (10.00%)
Meso C9 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Target Cracker,Rare (7.14%)
No Return,Rare (7.14%)
Serration,Rare (7.14%)
Hornet Strike,Rare (7.14%)
Reflex Coil,Rare (7.14%)
North Wind,Rare (7.14%)
Hell's Chamber,Rare (7.14%)
Neo F2 Relic,Rare (7.14%)
Neo Z10 Relic,Rare (7.14%)
Neo D8 Relic,Rare (7.14%)
Neo S18 Relic,Rare (7.14%)
Neo K6 Relic,Rare (7.14%)
Neo K7 Relic,Rare (7.14%)
Neo N23 Relic,Rare (7.14%)
Rotation C,Rotation C
Neo F2 Relic,Uncommon (14.29%)
Neo Z10 Relic,Uncommon (14.29%)
Neo D8 Relic,Uncommon (14.29%)
Neo S18 Relic,Uncommon (14.29%)
Neo K6 Relic,Uncommon (14.29%)
Neo K7 Relic,Uncommon (14.29%)
Neo N23 Relic,Uncommon (14.29%)
,
Event: Saturn/Pallene (Caches),Event: Saturn/Pallene (Caches)
Rotation A,Rotation A
"5,000 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (22.11%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Ultra Rare (1.01%)
300X Polymer Bundle,Uncommon (12.65%)
350X Rubedo,Uncommon (12.65%)
300X Plastids,Uncommon (12.65%)
Rotation C,Rotation C
600 Endo,Uncommon (15.10%)
600 Endo,Uncommon (15.10%)
600 Endo,Rare (4.40%)
Orokin Cell,Uncommon (15.10%)
Gallium,Uncommon (15.10%)
Neurodes,Uncommon (15.10%)
2X Orokin Cell,Rare (4.40%)
2X Gallium,Rare (4.40%)
2X Neurodes,Rare (4.40%)
Tellurium,Rare (4.40%)
Argon Crystal,Ultra Rare (1.00%)
Nitain Extract,Ultra Rare (1.00%)
Xiphos Engines Blueprint,Legendary (0.50%)
,
Event: Saturn/Aegaeon (Spy),Event: Saturn/Aegaeon (Spy)
Rotation A,Rotation A
Vitality,Rare (9.09%)
Magazine Warp,Rare (9.09%)
Trick Mag,Rare (9.09%)
Pressure Point,Rare (9.09%)
Ammo Drum,Rare (9.09%)
Fast Hands,Rare (9.09%)
Point Strike,Rare (9.09%)
Piercing Hit,Rare (9.09%)
Pistol Gambit,Rare (9.09%)
Blunderbuss,Rare (9.09%)
Live Wire,Rare (9.09%)
Rotation B,Rotation B
Speed Trigger,Rare (5.56%)
Fast Deflection,Rare (5.56%)
Rush,Rare (5.56%)
Target Cracker,Rare (5.56%)
No Return,Rare (5.56%)
Serration,Rare (5.56%)
Hornet Strike,Rare (5.56%)
Reflex Coil,Rare (5.56%)
Deep Freeze,Rare (5.56%)
North Wind,Rare (5.56%)
Cryo Rounds,Rare (5.56%)
Hell's Chamber,Rare (5.56%)
Streamline,Rare (5.56%)
Shocking Touch,Rare (5.56%)
Stormbringer,Rare (5.56%)
Point Blank,Rare (5.56%)
Fury,Rare (5.56%)
50 Endo,Rare (5.56%)
Rotation C,Rotation C
Metal Auger,Rare (5.64%)
Rime Rounds,Rare (5.64%)
Scattering Inferno,Rare (5.64%)
Ivara Chassis Blueprint,Rare (5.64%)
Meso P14 Relic,Uncommon (11.06%)
Meso G5 Relic,Uncommon (11.06%)
Meso M4 Relic,Uncommon (11.06%)
Meso P13 Relic,Uncommon (11.06%)
Meso B8 Relic,Uncommon (11.06%)
Meso W3 Relic,Uncommon (11.06%)
Meso C9 Relic,Uncommon (11.06%)
,
Saturn/Cassini (Capture),Saturn/Cassini (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Saturn/Anthe (Rescue),Saturn/Anthe (Rescue)
Rotation A,Rotation A
Phase Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Force Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Cosmic Specter Blueprint,Very Common (100.00%)
,
Saturn/Numa (Rescue),Saturn/Numa (Rescue)
Rotation A,Rotation A
Vapor Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Phase Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Force Specter Blueprint,Very Common (100.00%)
,
Saturn/Calypso (Caches),Saturn/Calypso (Caches)
Rotation A,Rotation A
"5,000 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (22.11%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Ultra Rare (1.01%)
300X Polymer Bundle,Uncommon (12.65%)
350X Rubedo,Uncommon (12.65%)
300X Plastids,Uncommon (12.65%)
Rotation C,Rotation C
600 Endo,Uncommon (15.10%)
600 Endo,Uncommon (15.10%)
600 Endo,Rare (4.40%)
Orokin Cell,Uncommon (15.10%)
Gallium,Uncommon (15.10%)
Neurodes,Uncommon (15.10%)
2X Orokin Cell,Rare (4.40%)
2X Gallium,Rare (4.40%)
2X Neurodes,Rare (4.40%)
Tellurium,Rare (4.40%)
Argon Crystal,Ultra Rare (1.00%)
Nitain Extract,Ultra Rare (1.00%)
Xiphos Engines Blueprint,Legendary (0.50%)
,
Saturn/Pandora (Pursuit),Saturn/Pandora (Pursuit)
400 Endo,Rare (5.06%)
400 Endo,Rare (3.16%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Rare (5.06%)
Tempered Blade,Rare (5.06%)
Sudden Impact,Rare (5.06%)
Poisonous Sting,Rare (5.06%)
Glacial Edge,Rare (5.06%)
Conductive Blade,Rare (5.06%)
Furor,Rare (5.06%)
Extend,Rare (3.16%)
Superior Defenses,Rare (3.16%)
Cutting Edge,Rare (3.16%)
System Reroute,Rare (3.16%)
Efficient Transferral,Rare (3.16%)
Blazing Steel,Rare (3.16%)
Meso P14 Relic,Rare (5.06%)
Meso G5 Relic,Rare (5.06%)
Meso M4 Relic,Rare (5.06%)
Meso P13 Relic,Rare (5.06%)
Meso B8 Relic,Rare (5.06%)
Meso W3 Relic,Rare (5.06%)
Meso C9 Relic,Rare (5.06%)
,
Saturn/Cephalon Capture (Conclave),Saturn/Cephalon Capture (Conclave)
Rotation A,Rotation A
400 Endo,Rare (8.33%)
Blind Shot,Rare (2.48%)
Hydraulic Barrel,Rare (2.48%)
Lucky Shot,Rare (2.48%)
Hydraulic Gauge,Rare (2.48%)
Hydraulic Chamber,Rare (2.48%)
Feathered Arrows,Rare (2.48%)
Heightened Reflexes,Rare (2.48%)
Hastened Steps,Rare (2.48%)
Adrenaline Boost,Rare (2.48%)
Vital Systems Bypass,Rare (2.48%)
Secondary Wind,Rare (2.48%)
Deft Tempo,Rare (2.48%)
Plan B,Rare (2.48%)
Kill Switch,Rare (2.48%)
Gorgon Frenzy,Rare (2.48%)
Grinloked,Rare (2.48%)
Double Tap,Rare (2.48%)
Triple Tap,Rare (2.48%)
Final Tap,Rare (2.48%)
Directed Convergence,Rare (2.48%)
Sudden Justice,Rare (2.48%)
Focused Acceleration,Rare (2.48%)
Measured Burst,Rare (2.48%)
Heavy Warhead,Rare (2.48%)
Final Act,Rare (2.48%)
Tactical Retreat,Rare (2.48%)
Mortal Conduct,Rare (2.48%)
Soaring Strike,Rare (2.48%)
Emergent Aftermath,Rare (2.48%)
Static Alacrity,Rare (2.48%)
Thundermiter,Rare (2.48%)
Shrapnel Rounds,Rare (2.48%)
Ambush Optics,Rare (2.48%)
Skull Shots,Rare (2.48%)
Brain Storm,Rare (2.48%)
Draining Gloom,Rare (2.48%)
Precision Munition,Rare (2.48%)
Rotation B,Rotation B
400X Alloy Plate,Uncommon (12.65%)
600X Cryotic,Uncommon (12.65%)
400X Ferrite,Uncommon (12.65%)
500X Nano Spores,Uncommon (12.65%)
500X Polymer Bundle,Uncommon (12.65%)
600X Salvage,Uncommon (12.65%)
100X Circuits,Rare (7.37%)
120X Plastids,Rare (7.37%)
100X Rubedo,Rare (7.37%)
Argon Crystal,Legendary (0.25%)
Control Module,Legendary (0.25%)
Gallium,Legendary (0.25%)
Morphics,Legendary (0.25%)
Neural Sensors,Legendary (0.25%)
Neurodes,Legendary (0.25%)
Orokin Cell,Legendary (0.25%)
Forma Blueprint,Legendary (0.25%)
,
Saturn/Cephalon Capture (Conclave) Extra,Saturn/Cephalon Capture (Conclave) Extra
Rotation A,Rotation A
400 Endo,Rare (8.33%)
Blind Shot,Rare (2.48%)
Hydraulic Barrel,Rare (2.48%)
Lucky Shot,Rare (2.48%)
Hydraulic Gauge,Rare (2.48%)
Hydraulic Chamber,Rare (2.48%)
Feathered Arrows,Rare (2.48%)
Heightened Reflexes,Rare (2.48%)
Hastened Steps,Rare (2.48%)
Adrenaline Boost,Rare (2.48%)
Vital Systems Bypass,Rare (2.48%)
Secondary Wind,Rare (2.48%)
Deft Tempo,Rare (2.48%)
Plan B,Rare (2.48%)
Kill Switch,Rare (2.48%)
Gorgon Frenzy,Rare (2.48%)
Grinloked,Rare (2.48%)
Double Tap,Rare (2.48%)
Triple Tap,Rare (2.48%)
Final Tap,Rare (2.48%)
Directed Convergence,Rare (2.48%)
Sudden Justice,Rare (2.48%)
Focused Acceleration,Rare (2.48%)
Measured Burst,Rare (2.48%)
Heavy Warhead,Rare (2.48%)
Final Act,Rare (2.48%)
Tactical Retreat,Rare (2.48%)
Mortal Conduct,Rare (2.48%)
Soaring Strike,Rare (2.48%)
Emergent Aftermath,Rare (2.48%)
Static Alacrity,Rare (2.48%)
Thundermiter,Rare (2.48%)
Shrapnel Rounds,Rare (2.48%)
Ambush Optics,Rare (2.48%)
Skull Shots,Rare (2.48%)
Brain Storm,Rare (2.48%)
Draining Gloom,Rare (2.48%)
Precision Munition,Rare (2.48%)
Rotation B,Rotation B
400X Alloy Plate,Uncommon (12.65%)
600X Cryotic,Uncommon (12.65%)
400X Ferrite,Uncommon (12.65%)
500X Nano Spores,Uncommon (12.65%)
500X Polymer Bundle,Uncommon (12.65%)
600X Salvage,Uncommon (12.65%)
100X Circuits,Rare (7.37%)
120X Plastids,Rare (7.37%)
100X Rubedo,Rare (7.37%)
Argon Crystal,Legendary (0.25%)
Control Module,Legendary (0.25%)
Gallium,Legendary (0.25%)
Morphics,Legendary (0.25%)
Neural Sensors,Legendary (0.25%)
Neurodes,Legendary (0.25%)
Orokin Cell,Legendary (0.25%)
Forma Blueprint,Legendary (0.25%)
,
Saturn/Team Annihilation (Conclave),Saturn/Team Annihilation (Conclave)
Rotation A,Rotation A
400 Endo,Rare (8.33%)
Blind Shot,Rare (2.48%)
Hydraulic Barrel,Rare (2.48%)
Lucky Shot,Rare (2.48%)
Hydraulic Gauge,Rare (2.48%)
Hydraulic Chamber,Rare (2.48%)
Feathered Arrows,Rare (2.48%)
Heightened Reflexes,Rare (2.48%)
Hastened Steps,Rare (2.48%)
Adrenaline Boost,Rare (2.48%)
Vital Systems Bypass,Rare (2.48%)
Secondary Wind,Rare (2.48%)
Deft Tempo,Rare (2.48%)
Plan B,Rare (2.48%)
Kill Switch,Rare (2.48%)
Gorgon Frenzy,Rare (2.48%)
Grinloked,Rare (2.48%)
Double Tap,Rare (2.48%)
Triple Tap,Rare (2.48%)
Final Tap,Rare (2.48%)
Directed Convergence,Rare (2.48%)
Sudden Justice,Rare (2.48%)
Focused Acceleration,Rare (2.48%)
Measured Burst,Rare (2.48%)
Heavy Warhead,Rare (2.48%)
Final Act,Rare (2.48%)
Tactical Retreat,Rare (2.48%)
Mortal Conduct,Rare (2.48%)
Soaring Strike,Rare (2.48%)
Emergent Aftermath,Rare (2.48%)
Static Alacrity,Rare (2.48%)
Thundermiter,Rare (2.48%)
Shrapnel Rounds,Rare (2.48%)
Ambush Optics,Rare (2.48%)
Skull Shots,Rare (2.48%)
Brain Storm,Rare (2.48%)
Draining Gloom,Rare (2.48%)
Precision Munition,Rare (2.48%)
Rotation B,Rotation B
400X Alloy Plate,Uncommon (12.65%)
600X Cryotic,Uncommon (12.65%)
400X Ferrite,Uncommon (12.65%)
500X Nano Spores,Uncommon (12.65%)
500X Polymer Bundle,Uncommon (12.65%)
600X Salvage,Uncommon (12.65%)
100X Circuits,Rare (7.37%)
120X Plastids,Rare (7.37%)
100X Rubedo,Rare (7.37%)
Argon Crystal,Legendary (0.25%)
Control Module,Legendary (0.25%)
Gallium,Legendary (0.25%)
Morphics,Legendary (0.25%)
Neural Sensors,Legendary (0.25%)
Neurodes,Legendary (0.25%)
Orokin Cell,Legendary (0.25%)
Forma Blueprint,Legendary (0.25%)
,
Saturn/Team Annihilation (Conclave) Extra,Saturn/Team Annihilation (Conclave) Extra
Rotation A,Rotation A
400 Endo,Rare (8.33%)
Blind Shot,Rare (2.48%)
Hydraulic Barrel,Rare (2.48%)
Lucky Shot,Rare (2.48%)
Hydraulic Gauge,Rare (2.48%)
Hydraulic Chamber,Rare (2.48%)
Feathered Arrows,Rare (2.48%)
Heightened Reflexes,Rare (2.48%)
Hastened Steps,Rare (2.48%)
Adrenaline Boost,Rare (2.48%)
Vital Systems Bypass,Rare (2.48%)
Secondary Wind,Rare (2.48%)
Deft Tempo,Rare (2.48%)
Plan B,Rare (2.48%)
Kill Switch,Rare (2.48%)
Gorgon Frenzy,Rare (2.48%)
Grinloked,Rare (2.48%)
Double Tap,Rare (2.48%)
Triple Tap,Rare (2.48%)
Final Tap,Rare (2.48%)
Directed Convergence,Rare (2.48%)
Sudden Justice,Rare (2.48%)
Focused Acceleration,Rare (2.48%)
Measured Burst,Rare (2.48%)
