Mob,Mod,Chance
,15 Endo,Uncommon (25.29%)
,Smite Grineer,Uncommon (11.06%)
,Stormbringer,Uncommon (11.06%)
,Flow,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Juno Disc Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Smite Grineer,Uncommon (11.06%)
,Hellfire,Uncommon (11.06%)
,Streamline,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Juno Geminex Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Smite Grineer,Rare (7.37%)
,Hellfire,Rare (7.37%)
,Stretch,Rare (7.37%)
,80 Endo,Rare (2.01%)
,,
Juno Glaxion Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Smite Grineer,Uncommon (11.06%)
,Cryo Rounds,Uncommon (11.06%)
,Continuity,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Juno Jactus Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Common (37.94%)
,15 Endo,Common (37.94%)
,Sinister Reach,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Concealed Explosives,Legendary (0.67%)
,Metal Auger,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Juno Oxium Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Rare (7.37%)
,Convulsion,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Hell's Chamber,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Juno Shield Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (75.88%)
,Hawk Eye,Rare (7.37%)
,Shotgun Barrage,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Shock Absorbers,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Test Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Trick Mag,Uncommon (25.29%)
,Piercing Hit,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cryo Rounds,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Pointed Wind,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Eidolon Gantulyst,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Perpetual Agony,Uncommon (32.21%)
,Continuous Misery,Uncommon (32.21%)
,Lingering Torment,Uncommon (32.21%)
,Auger Strike,Legendary (0.84%)
,Bore,Legendary (0.84%)
,Piercing Caliber,Legendary (0.84%)
,Breach Loader,Legendary (0.84%)
,,
Eidolon Teralyst,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Lethal Momentum,Uncommon (22.22%)
,Terminal Velocity,Uncommon (22.22%)
,Fatal Acceleration,Uncommon (22.22%)
,Collision Force,Rare (8.33%)
,Pummel,Rare (8.33%)
,Crash Course,Rare (8.33%)
,Full Contact,Rare (8.33%)
,,
Eidolon Hydrolyst,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Gunslinger,Uncommon (22.22%)
,Speed Trigger,Uncommon (22.22%)
,Shotgun Barrage,Uncommon (22.22%)
,Buzz Kill,Rare (8.33%)
,Maim,Rare (8.33%)
,Fanged Fusillade,Rare (8.33%)
,Sweeping Serration,Rare (8.33%)
,,
Terra Jackal,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Shocking Touch,Rare (3.69%)
,Molten Impact,Rare (3.69%)
,North Wind,Rare (3.69%)
,Reflex Coil,Rare (3.69%)
,Fever Strike,Rare (3.69%)
,Stretch,Rare (3.69%)
,Life Strike,Ultra Rare (1.01%)
,Split Chamber,Ultra Rare (1.01%)
,,
Eidolon Vomvalyst,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Reach,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Uncommon (11.06%)
,No Return,Uncommon (11.06%)
,Stinging Thorn,Legendary (0.67%)
,Reaping Spiral,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Zealoid Prelate,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Shocking Touch,Uncommon (18.33%)
,Molten Impact,Uncommon (18.33%)
,North Wind,Uncommon (18.33%)
,Fever Strike,Uncommon (18.33%)
,Eleventh Storm,Uncommon (18.33%)
,Target Acquired,Rare (2.78%)
,Tempo Royale,Rare (2.78%)
,Spinning Needle,Rare (2.78%)
,,
Saturn Six Fugitive,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Convulsion,Uncommon (22.92%)
,Heated Charge,Uncommon (22.92%)
,Deep Freeze,Uncommon (22.92%)
,Pathogen Rounds,Uncommon (22.92%)
,Target Acquired,Rare (8.33%)
,,
Wolf Of Saturn Six,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Shocking Touch,Uncommon (18.33%)
,Molten Impact,Uncommon (18.33%)
,North Wind,Uncommon (18.33%)
,Fever Strike,Uncommon (18.33%)
,Eleventh Storm,Uncommon (18.33%)
,Target Acquired,Rare (2.78%)
,Tempo Royale,Rare (2.78%)
,Spinning Needle,Rare (2.78%)
,,
Wolf Of Saturn Six,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Shocking Touch,Uncommon (18.33%)
,Molten Impact,Uncommon (18.33%)
,North Wind,Uncommon (18.33%)
,Fever Strike,Uncommon (18.33%)
,Eleventh Storm,Uncommon (18.33%)
,Target Acquired,Rare (2.78%)
,Tempo Royale,Rare (2.78%)
,Spinning Needle,Rare (2.78%)
,,
Void Angel,Mod Drop Chance: 25.00%,Mod Drop Chance: 25.00%
,Molt Augmented,Rare (6.67%)
,Cascadia Flare,Rare (6.67%)
,Molt Reconstruct,Rare (6.67%)
,Eternal Onslaught,Rare (6.67%)
,Eternal Logistics,Rare (6.67%)
,Emergence Dissipate,Rare (6.67%)
,Emergence Savior,Rare (6.67%)
,Emergence Renewed,Rare (6.67%)
,Eternal Eradicate,Rare (6.67%)
,Fractalized Reset,Rare (6.67%)
,Cascadia Overcharge,Rare (6.67%)
,Cascadia Accuracy,Rare (6.67%)
,Cascadia Empowered,Rare (6.67%)
,Molt Vigor,Rare (6.67%)
,Molt Efficiency,Rare (6.67%)
,,
Ravenous Void Angel,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Molt Augmented,Rare (6.67%)
,Cascadia Flare,Rare (6.67%)
,Molt Reconstruct,Rare (6.67%)
,Eternal Onslaught,Rare (6.67%)
,Eternal Logistics,Rare (6.67%)
,Emergence Dissipate,Rare (6.67%)
,Emergence Savior,Rare (6.67%)
,Emergence Renewed,Rare (6.67%)
,Eternal Eradicate,Rare (6.67%)
,Fractalized Reset,Rare (6.67%)
,Cascadia Overcharge,Rare (6.67%)
,Cascadia Accuracy,Rare (6.67%)
,Cascadia Empowered,Rare (6.67%)
,Molt Vigor,Rare (6.67%)
,Molt Efficiency,Rare (6.67%)
,,
Guardsman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Fast Hands,Uncommon (25.29%)
,Enduring Affliction,Rare (3.69%)
,North Wind,Rare (3.69%)
,Reflex Coil,Rare (3.69%)
,Smite Grineer,Rare (3.69%)
,Atlantis Vulcan,Rare (3.69%)
,50 Endo,Rare (3.69%)
,80 Endo,Rare (2.01%)
,,
Muzureh Entrati Coffer,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,80 Endo,Very Common (100.00%)
,,
Thalmin Entrati Coffer,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,80 Endo,Very Common (100.00%)
,,
Netracell Arcocanid,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (95.79%)
,Focus Radon,Rare (2.11%)
,Atomic Fallout,Rare (2.11%)
,,
Netracell Culverin,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (95.79%)
,Accelerated Isotope,Rare (2.11%)
,Radiated Reload,Rare (2.11%)
,,
Shuffling Fragment,Mod Drop Chance: 2.00%,Mod Drop Chance: 2.00%
,15 Endo,Very Common (100.00%)
,,
Lumbering Fragment,Mod Drop Chance: 1.50%,Mod Drop Chance: 1.50%
,15 Endo,Common (41.67%)
,Critical Meltdown,Uncommon (16.67%)
,Containment Breach,Uncommon (16.67%)
,Smite The Murmur,Uncommon (12.50%)
,Expel The Murmur,Rare (4.17%)
,Bane Of The Murmur,Rare (4.17%)
,Cleanse The Murmur,Rare (4.17%)
,,
Mocking Whisper,Mod Drop Chance: 50.00%,Mod Drop Chance: 50.00%
,Melee Fortification,Uncommon (25.00%)
,Melee Retaliation,Uncommon (25.00%)
,Melee Exposure,Uncommon (12.50%)
,Melee Animosity,Uncommon (12.50%)
,Melee Influence,Uncommon (12.50%)
,Melee Vortex,Uncommon (12.50%)
,,
Scathing Whisper,Mod Drop Chance: 50.00%,Mod Drop Chance: 50.00%
,Melee Fortification,Uncommon (25.00%)
,Melee Retaliation,Uncommon (25.00%)
,Melee Exposure,Uncommon (12.50%)
,Melee Animosity,Uncommon (12.50%)
,Melee Influence,Uncommon (12.50%)
,Melee Vortex,Uncommon (12.50%)
,,
Rupturing Fragment,Mod Drop Chance: 2.00%,Mod Drop Chance: 2.00%
,15 Endo,Very Common (100.00%)
,,
The Anatomizer,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Common (59.18%)
,Bane Of The Murmur,Uncommon (20.41%)
,Precision Intensify,Uncommon (10.20%)
,Energy Nexus,Uncommon (10.20%)
,,
Rogue Bonewidow,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Radiated Reload,Common (33.33%)
,Energy Nexus,Common (33.33%)
,80 Endo,Common (33.33%)
,,
Rogue Arcocanid,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (95.79%)
,Focus Radon,Rare (2.11%)
,Atomic Fallout,Rare (2.11%)
,,
Rogue Culverin,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (95.79%)
,Accelerated Isotope,Rare (2.11%)
,Radiated Reload,Rare (2.11%)
,,
Rogue Voidrig,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Radiated Reload,Common (33.33%)
,Energy Nexus,Common (33.33%)
,80 Endo,Common (33.33%)
,,
The Fragmented Suzerain,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Ready Steel,Uncommon (30.30%)
,Shivering Contagion,Uncommon (20.20%)
,Precision Intensify,Uncommon (20.20%)
,Energy Nexus,Uncommon (20.20%)
,15 Endo,Rare (9.09%)
,,
The Hollow Vein,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Common (49.55%)
,Ready Steel,Uncommon (20.27%)
,Cleanse The Murmur,Uncommon (20.27%)
,Precision Intensify,Rare (9.91%)
,,
The Severed Warden,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Common (59.18%)
,Expel The Murmur,Uncommon (20.41%)
,Shivering Contagion,Uncommon (10.20%)
,Precision Intensify,Uncommon (10.20%)
,,
Hurling Fragment,Mod Drop Chance: 2.00%,Mod Drop Chance: 2.00%
,15 Endo,Very Common (100.00%)
,,
Arcane Boiler,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Organ Shatter,Uncommon (15.18%)
,Slip Magazine,Uncommon (15.18%)
,Shredder,Uncommon (15.18%)
,Warm Coat,Uncommon (15.18%)
,15 Endo,Uncommon (15.18%)
,Hornet Strike,Rare (7.37%)
,Accelerated Deflection,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Firestorm,Ultra Rare (1.01%)
,Brutal Tide,Ultra Rare (1.01%)
,,
Nauseous Void Shade,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Quickdraw,Common (37.94%)
,15 Endo,Common (37.94%)
,Serration,Uncommon (11.06%)
,Homing Fang,Uncommon (11.06%)
,80 Endo,Rare (2.01%)
,,
Void Shade,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Quickdraw,Common (37.94%)
,15 Endo,Common (37.94%)
,Serration,Uncommon (11.06%)
,Homing Fang,Uncommon (11.06%)
,80 Endo,Rare (2.01%)
,,
Alad V,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Slip Magazine,Uncommon (25.29%)
,Quickdraw,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,Heated Charge,Uncommon (11.06%)
,Gunslinger,Uncommon (11.06%)
,Intensify,Rare (2.01%)
,,
Misery (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Misery (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Misery (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Misery (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Misery (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Misery (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Attack Drone,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Rare (7.37%)
,Convulsion,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Hell's Chamber,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Attack Drone,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Extend,Uncommon (25.29%)
,Magazine Extension,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,50 Endo,Uncommon (22.11%)
,Efficient Transferral,Rare (2.01%)
,,
Ambulas,Mod Drop Chance: 80.00%,Mod Drop Chance: 80.00%
,Pressure Point,Very Common (75.88%)
,Molten Impact,Rare (5.53%)
,Heated Charge,Rare (5.53%)
,Hellfire,Rare (5.53%)
,Fast Deflection,Rare (5.53%)
,Blood For Energy,Rare (2.01%)
,,
Remech Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Rare (7.37%)
,Convulsion,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Hell's Chamber,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Angst (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Angst (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Angst (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Angst (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Angst (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Angst (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Captain Vor,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Slip Magazine,Uncommon (25.29%)
,Quickdraw,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,Heated Charge,Uncommon (11.06%)
,Gunslinger,Uncommon (11.06%)
,Intensify,Rare (2.01%)
,,
Mutalist Osprey Carrier,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Reach,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Uncommon (11.06%)
,No Return,Uncommon (11.06%)
,Reaping Spiral,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Nox,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Guardian,Uncommon (19.36%)
,Steel Fiber,Uncommon (19.36%)
,Aviator,Uncommon (19.36%)
,Redirection,Uncommon (19.36%)
,Toxin Resistance,Rare (7.52%)
,Stretch,Rare (7.52%)
,50 Endo,Rare (7.52%)
,,
Torment (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Torment (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Torment (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Torment (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Torment (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Torment (Level 0 - 100),Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%
,Primary Merciless,Uncommon (16.67%)
,Primary Dexterity,Uncommon (16.67%)
,Primary Deadhead,Uncommon (16.67%)
,Secondary Merciless,Uncommon (16.67%)
,Secondary Dexterity,Uncommon (16.67%)
,Secondary Deadhead,Uncommon (16.67%)
,,
Drover Bursa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,North Wind,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Life Strike,Rare (2.01%)
,,
Datalyst,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Nemes,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Rare (7.37%)
,Convulsion,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Hell's Chamber,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Corvette,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (77.44%)
,Furor,Rare (5.64%)
,Enhanced Durability,Rare (5.64%)
,Superior Defenses,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Ranger,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Tempered Blade,Uncommon (25.29%)
,Parallax Scope,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Hollowed Bullets,Rare (2.01%)
,,
Quanta Ranger,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Tempered Blade,Uncommon (25.29%)
,Parallax Scope,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Hollowed Bullets,Rare (2.01%)
,,
Penta Ranger,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Tempered Blade,Uncommon (25.29%)
,Parallax Scope,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Hollowed Bullets,Rare (2.01%)
,,
Frigate,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Tempered Blade,Uncommon (25.29%)
,Parallax Scope,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cutting Edge,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Hollowed Bullets,Rare (2.01%)
,,
Uncommon Corpus Storage Container,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Argon Plating,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Enhanced Durability,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,System Reroute,Rare (2.01%)
,,
Lynx,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Organ Shatter,Common (37.94%)
,15 Endo,Common (37.94%)
,Stormbringer,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Gox,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (77.44%)
,Furor,Rare (5.64%)
,Enhanced Durability,Rare (5.64%)
,Superior Defenses,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Cannon Battery,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Bleeding Edge,Uncommon (25.81%)
,Energy Inversion,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Modified Munitions,Uncommon (11.28%)
,50 Endo,Uncommon (11.28%)
,,
Locust Drone,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Sudden Impact,Common (37.94%)
,15 Endo,Common (37.94%)
,Rubedo-Lined Barrel,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Hyperion Thrusters,Rare (2.01%)
,,
Carrier,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Argon Plating,Common (37.94%)
,15 Endo,Common (37.94%)
,Furor,Rare (7.37%)
,Venomous Clip,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Automatic Trigger,Rare (2.01%)
,,
Corrupted Ancient,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (75.88%)
,Reflection,Rare (5.53%)
,Maglev,Rare (5.53%)
,Clashing Forest,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Berserker Fury,Ultra Rare (1.01%)
,Quick Thinking,Ultra Rare (1.01%)
,,
Corrupted Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Quick Return,Uncommon (32.47%)
,Suppress,Uncommon (32.47%)
,15 Endo,Uncommon (32.47%)
,Steady Hands,Legendary (0.86%)
,Fired Up,Legendary (0.86%)
,Coiling Viper,Legendary (0.86%)
,,
Corrupted Heavy Gunner,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Intruder,Very Common (75.88%)
,Spare Parts,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Whirlwind,Legendary (0.67%)
,Flailing Branch,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Corrupted Lancer,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Ammo Case,Common (37.94%)
,Thumper,Common (37.94%)
,Finishing Touch,Rare (5.53%)
,Infected Clip,Rare (5.53%)
,Burning Wasp,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Power Throw,Rare (2.01%)
,,
Corrupted Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Fatal Attraction,Uncommon (25.29%)
,Assault Mode,Uncommon (25.29%)
